# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_open,yagura,chozame,204,alpha,TRUE,,,,,100,,,,,0,,,sshooter,17,13,4,4,5,866,,campingshelter,8,3,5,5,3,393,,variableroller,3,2,1,4,6,1006,,52gal,12,12,0,3,3,740,,nautilus47,7,5,2,9,1,495,,52gal,5,5,0,8,0,587,,hydra,4,3,1,7,1,616,,longblaster,3,3,0,8,1,494,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,zatou,180,bravo,,,,3314,38.4,,,,3376,52.6,,,,heroshooter_replica,14,12,2,5,2,1169,,promodeler_mg,2,2,0,7,3,1022,,pablo,4,2,2,6,2,737,,splatroller,1,1,0,5,0,386,,bold,6,6,0,4,3,988,,pablo,5,4,1,7,2,918,,dualsweeper,6,3,3,3,1,747,,soytuber,10,10,0,3,2,723,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,sumeshi,318,alpha,FALSE,,,,,49,,,,,34,,,screwslosher,13,10,3,5,4,1114,,carbon,18,16,2,8,3,1076,,sshooter,7,6,1,7,5,1189,,dualsweeper,7,3,4,9,2,992,,clashblaster,18,14,4,7,4,961,,longblaster,7,7,0,9,5,1191,,kugelschreiber,4,1,3,8,0,1006,,screwslosher,9,7,2,11,1,1028,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,zatou,180,alpha,,,,3692,57.5,,,,3277,36.2,,,,heroshooter_replica,11,10,1,3,3,1087,,wakaba,3,2,1,2,2,1005,,splatroller,11,10,1,2,3,827,,pablo,5,4,1,4,3,773,,sharp,7,6,1,5,2,1020,,wakaba,3,3,0,9,0,929,,sshooter,2,2,0,7,2,764,,splatroller,0,0,0,5,1,564,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,yunohana,113,alpha,TRUE,,,,,100,,,,,0,,,screwslosher,5,2,3,1,2,612,,longblaster,10,8,2,1,2,579,,sputtery,3,3,0,4,0,335,,hissen,4,3,1,3,1,338,,hissen,4,3,1,5,1,456,,hydra,3,3,0,3,1,439,,bold,2,2,0,4,3,472,,nzap85,1,1,0,4,0,268,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,sumeshi,234,bravo,TRUE,,,,,0,,,,,100,,,screwslosher,13,7,6,6,4,1023,,52gal,8,5,3,7,1,795,,dualsweeper,11,7,4,6,1,965,,jetsweeper,7,2,5,5,3,728,,52gal,14,9,5,4,4,914,,squiclean_a,4,4,0,5,1,753,,sharp,5,3,2,6,3,1010,,splatroller,11,8,3,6,2,822,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,yunohana,308,alpha,FALSE,,,,,69,,,,,32,,,screwslosher,10,6,4,4,5,1745,,sshooter,15,13,2,5,6,1499,,prime,12,9,3,5,2,1108,,prime,7,4,3,3,4,1055,,tristringer,8,5,3,5,6,1483,,maneuver,4,4,0,8,4,1357,,nzap85,6,6,0,9,3,1388,,screwslosher,2,2,0,10,3,1235,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,yunohana,300,alpha,FALSE,,,,,80,,,,,20,,,screwslosher,10,8,2,7,3,1379,,wakaba,11,10,1,7,4,1356,,heroshooter_replica,11,7,4,3,5,1327,,sputtery,6,5,1,9,2,892,,liter4k,7,6,1,6,3,944,,sharp,8,8,0,10,3,1427,,sharp,14,7,7,9,4,1244,,h3reelgun,13,4,9,5,4,932,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,sumeshi,107,bravo,TRUE,,,,,0,,,,,100,,,screwslosher,3,3,0,4,1,548,,longblaster,4,3,1,5,0,358,,hydra,3,2,1,4,0,288,,screwslosher,2,1,1,4,1,489,,hissen,9,5,4,2,2,554,,nautilus47,5,5,0,3,1,425,,longblaster,2,1,1,2,1,502,,52gal,7,6,1,2,1,518,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,sumeshi,300,bravo,FALSE,,,,,48,,,,,65,,,screwslosher,12,7,5,7,3,1108,,sshooter,17,16,1,12,2,1146,,barrelspinner,10,4,6,8,3,1041,,splatcharger,5,3,2,7,3,975,,bold,14,12,2,9,4,1252,,furo,6,2,4,7,3,1063,,sshooter,13,12,1,6,3,1053,,longblaster,10,8,2,8,2,898,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,yunohana,300,alpha,FALSE,,,,,65,,,,,28,,,screwslosher,15,9,6,9,3,1187,,splatscope,16,15,1,2,5,1234,,quadhopper_black,14,10,4,7,2,1240,,52gal,9,6,3,6,2,1002,,bold,12,8,4,10,8,1481,,hydra,9,8,1,8,4,1254,,prime,4,2,2,10,3,824,,sputtery,7,6,1,12,2,780,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,mategai,180,alpha,,,,3263,48.2,,,,3168,45.0,,,,nzap85,3,3,0,4,3,861,,nzap85,7,4,3,6,2,1030,,bold,4,4,0,4,2,846,,nova,6,4,2,5,0,526,,52gal,3,3,0,3,3,884,,tristringer,3,1,2,3,3,793,,splatroller,11,11,0,5,2,750,,drivewiper,4,4,0,4,2,741,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,yunohana,325,alpha,FALSE,,,,,97,,,,,43,,,screwslosher,9,7,2,6,5,1707,,quadhopper_black,13,13,0,9,3,1441,,52gal,9,6,3,9,3,988,,splatscope,8,6,2,9,3,994,,heroshooter_replica,19,16,3,9,4,1633,,sharp,13,9,4,7,2,1202,,sharp,11,6,5,8,5,1435,,hydra,3,2,1,9,2,814,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,mategai,180,bravo,,,,2731,39.7,,,,2906,46.4,,,,nzap85,1,1,0,6,1,749,,tristringer,4,3,1,3,2,750,,hissen,11,9,2,5,1,699,,nova,4,3,1,7,1,533,,l3reelgun,2,2,0,2,3,919,,sshooter,5,5,0,5,2,751,,hokusai,8,8,0,6,1,678,,hokusai,5,5,0,3,0,558,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,yunohana,288,alpha,TRUE,,,,,100,,,,,0,,,screwslosher,14,7,7,6,4,1515,,screwslosher,18,14,4,5,4,1299,,splatscope,7,6,1,4,4,1208,,52gal,11,8,3,8,2,966,,sshooter,12,8,4,8,5,1356,,pablo,9,6,3,12,5,1220,,sharp,3,3,0,10,3,1066,,screwslosher,7,5,2,7,5,1303,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,zatou,180,bravo,,,,3149,31.3,,,,3768,62.5,,,,nzap85,2,1,1,6,2,845,,promodeler_mg,1,1,0,5,3,1029,,tristringer,4,2,2,3,2,671,,prime,4,3,1,8,1,604,,52gal,11,7,4,0,5,1139,,heroshooter_replica,2,1,1,1,2,1002,,bucketslosher,11,9,2,2,2,833,,drivewiper,8,5,3,4,2,794,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,mategai,180,alpha,,,,3336,44.9,,,,3194,44.2,,,,clashblaster,4,3,1,5,1,497,,promodeler_mg,2,2,0,4,2,1239,,sharp,2,2,0,6,1,852,,promodeler_mg,3,2,1,5,2,748,,heroshooter_replica,8,7,1,4,2,888,,tristringer,8,5,3,1,3,822,,splatcharger,4,4,0,1,2,789,,splatroller,5,4,1,3,2,695,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,mategai,180,bravo,,,,3335,40.2,,,,3322,48.7,,,,clashblaster,8,6,2,2,3,657,,wakaba,1,0,1,4,3,1084,,squiclean_a,5,5,0,3,2,1012,,splatcharger,3,3,0,4,1,582,,promodeler_mg,5,5,0,2,2,1204,,spygadget,4,3,1,4,4,863,,campingshelter,2,1,1,5,2,636,,tristringer,4,4,0,3,1,619,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,bankara_challenge,hoko,sumeshi,310,alpha,FALSE,,,,,82,,,,,81,,,screwslosher,13,6,7,7,3,1293,,dualsweeper,10,6,4,6,2,976,,hydra,10,8,2,3,5,1094,,lact450,9,7,2,5,11,2686,,h3reelgun,10,6,4,6,3,1218,,nzap85,6,5,1,4,4,1433,,screwslosher,8,5,3,8,6,1324,,sshooter,6,5,1,10,5,1366,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,mategai,180,alpha,,,,3961,61.8,,,,3414,33.3,,,,clashblaster,9,9,0,2,2,756,,lact450,5,4,1,1,5,1179,,lact450,1,0,1,1,4,1132,,hokusai,8,8,0,3,2,894,,sharp,3,2,1,5,2,1046,,wakaba,2,2,0,7,2,868,,promodeler_mg,1,1,0,4,2,795,,kugelschreiber,2,2,0,5,1,705,
Drizzle Season 2022,2022-09-26T00:00:00+00:00,1.1.1,regular,nawabari,zatou,180,bravo,,,,3279,43.8,,,,3392,48.2,,,,lact450,2,1,1,2,3,808,,screwslosher,7,4,3,5,2,968,,heroshooter_replica,5,5,0,6,2,846,,screwslosher,5,4,1,5,1,657,,bold,6,6,0,3,5,1246,,sshooter,4,2,2,3,2,820,,kelvin525,9,7,2,3,2,730,,squiclean_a,3,3,0,5,0,596,
