# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_open,area,yunohana,216,bravo,TRUE,S+ 0,,,,0,,,,,100,,,sputtery,11,9,2,9,0,639,,nautilus47,10,7,3,5,3,972,,nautilus47,5,3,2,6,3,861,,liter4k,7,3,4,4,1,480,,nautilus47,10,4,6,7,2,680,,quadhopper_black,8,8,0,6,3,847,,nautilus47,12,7,5,4,4,762,,furo,5,5,0,5,3,946,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_open,area,chozame,173,alpha,TRUE,S+ 0,,,,100,,,,,0,,,sputtery,6,4,2,6,0,434,,nautilus47,11,9,2,2,3,868,,prime,8,4,4,5,1,481,,nautilus47,5,4,1,1,3,832,,barrelspinner,8,6,2,5,2,722,,barrelspinner,5,1,4,5,3,754,,liter4k,5,3,2,5,1,397,,promodeler_mg,4,4,0,6,4,1009,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_open,area,chozame,176,alpha,TRUE,S+ 0,,,,100,,,,,0,,,sputtery,12,9,3,5,2,582,,52gal,7,3,4,2,4,937,,nautilus47,6,4,2,1,2,727,,nautilus47,6,4,2,3,2,608,,wakaba,6,5,1,6,1,663,,lact450,4,2,2,5,4,963,,variableroller,3,2,1,5,3,888,,barrelspinner,2,2,0,4,1,600,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,namero,320,alpha,FALSE,S,,,,42,,,,,32,,,splatcharger,4,4,0,3,3,815,,pablo,15,12,3,9,5,1144,,dualsweeper,6,6,0,8,0,652,,hydra,9,7,2,4,5,1241,,pablo,13,8,5,8,3,933,,hotblaster,8,7,1,7,2,720,,sharp,6,4,2,9,3,1081,,barrelspinner,7,5,2,5,4,1064,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,namero,314,alpha,FALSE,S,,,,50,,,,,29,,,splatcharger,11,10,1,3,2,949,,96gal,17,14,3,8,3,1165,,dualsweeper,13,7,6,6,1,786,,pablo,10,5,5,7,3,940,,sshooter,2,2,0,5,6,1285,,squiclean_a,9,7,2,8,2,856,,splatroller,8,7,1,10,3,822,,carbon,8,8,0,13,0,742,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,mahimahi,300,alpha,FALSE,S,,,,80,,,,,0,,,splatcharger,6,5,1,5,2,818,,nzap85,17,12,5,9,1,1144,,screwslosher,14,7,7,7,4,1023,,pablo,14,9,5,8,2,969,,l3reelgun,9,9,0,5,5,1160,,nzap85,13,12,1,8,2,1027,,sshooter,7,4,3,12,2,862,,pablo,6,3,3,8,5,1060,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,mahimahi,300,alpha,FALSE,S,,,,89,,,,,0,,,splatcharger,9,9,0,5,0,885,,nzap85,21,12,9,9,2,879,,nzap85,15,9,6,8,3,957,,longblaster,14,11,3,11,1,719,,splatroller,14,12,2,13,0,968,,sshooter,12,10,2,9,3,1100,,jimuwiper,7,3,4,11,1,1035,,52gal,8,8,0,8,0,525,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,namero,310,alpha,FALSE,S,,,,30,,,,,0,,,splatcharger,7,6,1,2,3,986,,heroshooter_replica,20,13,7,6,3,948,,nzap85,10,6,4,6,4,1037,,longblaster,14,9,5,6,2,951,,wakaba,10,10,0,8,2,1317,,promodeler_mg,7,5,2,7,2,1102,,lact450,6,1,5,8,6,1412,,nova,7,4,3,11,1,475,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_open,area,yunohana,192,bravo,TRUE,S,,,,0,,,,,100,,,splatcharger,0,0,0,4,1,576,,screwslosher,7,6,1,9,2,785,,heroshooter_replica,3,2,1,5,2,783,,hydra,3,3,0,6,2,371,,pablo,11,8,3,3,3,771,,screwslosher,10,8,2,3,4,868,,hydra,5,3,2,2,2,472,,52gal,5,5,0,3,3,649,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_open,area,chozame,121,alpha,TRUE,S,,,,100,,,,,0,,,splatcharger,7,7,0,0,1,360,,hotblaster,4,3,1,0,1,371,,heroshooter_replica,4,3,1,2,1,558,,hydra,3,3,0,2,0,274,,hokusai,4,3,1,4,1,462,,screwslosher,1,0,1,4,1,403,,kelvin525,1,1,0,4,1,478,,nova,0,0,0,4,1,225,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_open,area,yunohana,97,alpha,TRUE,S,,,,100,,,,,0,,,splatcharger,3,3,0,1,1,361,,heroshooter_replica,6,6,0,3,1,487,,hotblaster,1,1,0,0,1,256,,hydra,2,2,0,3,0,191,,hokusai,4,4,0,2,2,415,,screwslosher,1,1,0,4,1,350,,nova,2,1,1,2,1,244,,kelvin525,2,1,1,4,0,256,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,namero,303,bravo,FALSE,S,,,,20,,,,,47,,,splatcharger,4,4,0,7,1,791,,variableroller,8,7,1,5,6,1358,,variableroller,11,10,1,8,5,1237,,52gal,9,7,2,7,5,1064,,rapid_elite,13,9,4,6,3,807,,dualsweeper,11,9,2,7,2,982,,nzap85,6,4,2,9,4,1315,,dualsweeper,12,5,7,6,4,1212,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,mahimahi,316,alpha,FALSE,S,,,,40,,,,,0,,,splatcharger,10,9,1,4,2,1029,,variableroller,15,10,5,6,5,1436,,lact450,11,6,5,6,4,1352,,variableroller,11,11,0,7,3,966,,variableroller,12,9,3,7,4,1435,,barrelspinner,9,6,3,7,4,1389,,quadhopper_black,9,7,2,12,0,727,,furo,3,1,2,10,2,972,
Drizzle Season 2022,2022-10-17T04:00:00+00:00,1.1.2,bankara_challenge,asari,namero,300,bravo,FALSE,S,,,,0,,,,,52,,,splatcharger,5,4,1,6,2,743,,variableroller,8,7,1,6,6,1392,,lact450,5,2,3,8,8,1526,,variableroller,4,4,0,9,5,1154,,bold,12,11,1,6,4,926,,lact450,5,3,2,1,9,1819,,sshooter,11,5,6,5,4,1147,,nzap85,11,10,1,6,3,1164,
Drizzle Season 2022,2022-10-17T06:00:00+00:00,1.1.2,bankara_challenge,area,gonzui,92,bravo,TRUE,S,,,,0,,,,,100,,,splatcharger,2,0,2,2,0,246,,jetsweeper,2,1,1,2,2,442,,sshooter,2,2,0,4,1,361,,clashblaster,2,2,0,4,2,335,,clashblaster,6,5,1,1,2,380,,barrelspinner,0,0,0,0,1,453,,maneuver,4,4,0,1,1,315,,nzap85,3,3,0,3,1,370,
Drizzle Season 2022,2022-10-17T08:00:00+00:00,1.1.2,bankara_challenge,asari,amabi,320,bravo,FALSE,S+ 26,,,,61,,,,,64,,,variableroller,5,4,1,7,7,1768,,sshooter,9,8,1,7,4,1208,,sharp,7,5,2,5,0,1194,,nova,9,7,2,8,1,848,,wakaba,13,8,5,7,3,1691,,lact450,10,4,6,4,8,1885,,tristringer,12,7,5,7,3,969,,splatcharger,9,8,1,6,1,677,
Drizzle Season 2022,2022-10-17T08:00:00+00:00,1.1.2,bankara_challenge,asari,amabi,300,bravo,FALSE,S+ 26,,,,0,,,,,20,,,variableroller,5,3,2,3,7,1854,,bottlegeyser,11,10,1,3,3,1046,,quadhopper_black,9,2,7,8,2,1152,,l3reelgun,9,5,4,4,4,1478,,nautilus47,8,5,3,8,2,808,,variableroller,5,2,3,2,8,1897,,dualsweeper,6,5,1,4,6,1338,,maneuver,7,6,1,6,3,1232,
Drizzle Season 2022,2022-10-17T08:00:00+00:00,1.1.2,bankara_challenge,asari,amabi,300,alpha,FALSE,S+ 26,,,,76,,,,,40,,,variableroller,15,13,2,4,5,1413,,heroshooter_replica,12,5,7,5,3,1150,,wakaba,12,8,4,7,3,1270,,liter4k,14,8,6,7,1,671,,52gal,12,11,1,8,4,1281,,hydra,4,4,0,8,2,907,,sharp,9,4,5,7,3,1031,,splatroller,4,4,0,11,1,667,
