# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-11-07T00:00:00+00:00,1.2.1,bankara_open,yagura,yunohana,284,bravo,TRUE,S,,,,0,,,,,100,,,wakaba,8,6,2,13,0,797,,screwslosher,15,10,5,9,3,973,,screwslosher,8,5,3,8,3,1150,,52gal,14,9,5,10,1,755,,maneuver,18,13,5,5,5,1332,,clashblaster,7,4,3,8,5,871,,pablo,14,12,2,8,4,928,,hissen,13,11,2,9,2,944,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,mategai,323,alpha,FALSE,S,,,,79,,,,,78,,,wakaba,5,2,3,8,5,1353,,52gal,12,11,1,11,4,1121,,bold,4,4,0,10,6,1365,,hydra,4,4,0,6,4,973,,liter4k,17,14,3,5,5,782,,hydra,15,10,5,5,7,1440,,furo,7,6,1,6,5,1379,,pablo,8,5,3,5,5,1007,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,kinmedai,305,alpha,FALSE,S,,,,76,,,,,75,,,wakaba,6,3,3,7,4,1743,,52gal,20,18,2,9,3,1280,,liter4k,19,14,5,3,6,1261,,maneuver,3,0,3,6,3,1237,,wakaba,13,9,4,9,6,1795,,furo,10,6,4,7,6,1652,,nzap85,9,7,2,7,4,1244,,heroshooter_replica,3,3,0,12,1,925,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,kinmedai,91,alpha,TRUE,S,,,,100,,,,,0,,,wakaba,2,0,2,2,1,459,,52gal,9,8,1,0,1,518,,liter4k,5,3,2,0,2,415,,soytuber,2,1,1,1,2,495,,explosher,1,1,0,1,3,884,,longblaster,1,1,0,4,0,268,,quadhopper_black,1,1,0,4,1,250,,parashelter,0,0,0,3,2,490,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,mategai,270,alpha,TRUE,S,,,,100,,,,,0,,,wakaba,8,5,3,6,5,1322,,52gal,19,17,2,6,2,1173,,dualsweeper,11,5,6,5,3,779,,liter4k,13,7,6,4,3,700,,bold,11,10,1,10,4,1160,,heroshooter_replica,9,8,1,8,4,1085,,furo,0,0,0,5,4,1175,,sshooter,3,3,0,11,2,714,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,mategai,261,alpha,TRUE,S,,,,100,,,,,0,,,wakaba,7,5,2,6,5,1313,,52gal,16,16,0,10,0,941,,lact450,2,1,1,4,3,979,,variableroller,3,3,0,5,3,988,,hydra,11,7,4,5,4,952,,hydra,9,9,0,5,5,1013,,furo,3,2,1,6,5,1265,,bold,8,7,1,9,6,1368,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,mategai,300,bravo,FALSE,S,,,,25,,,,,76,,,wakaba,2,1,1,10,2,1464,,52gal,13,9,4,13,2,1140,,parashelter,6,3,3,8,6,1351,,jimuwiper,7,6,1,9,4,1106,,barrelspinner,20,14,6,4,4,1257,,sharp,16,11,5,3,4,1420,,sshooter,16,10,6,7,2,1192,,dualsweeper,14,5,9,5,3,1108,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,kinmedai,112,alpha,TRUE,S,,,,100,,,,,0,,,wakaba,2,2,0,2,1,615,,52gal,9,7,2,2,2,492,,maneuver,7,6,1,2,2,524,,prime,6,4,2,1,2,588,,sputtery,3,3,0,5,0,495,,explosher,2,1,1,3,2,869,,screwslosher,3,3,0,5,2,475,,pablo,2,0,2,6,1,464,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,kinmedai,89,bravo,TRUE,S,,,,0,,,,,100,,,wakaba,2,1,1,4,0,448,,prime,2,2,0,4,1,323,,52gal,2,2,0,5,0,319,,maneuver,1,1,0,2,2,482,,sharp,11,11,0,0,2,634,,promodeler_mg,5,0,5,0,1,447,,pablo,6,4,2,2,2,374,,nzap85,2,0,2,4,0,343,
Drizzle Season 2022,2022-11-07T02:00:00+00:00,1.2.1,bankara_open,area,mategai,267,alpha,TRUE,S,,,,100,,,,,0,,,wakaba,14,8,6,7,2,1203,,52gal,12,11,1,7,2,1043,,wakaba,10,8,2,4,4,1135,,96gal,10,8,2,6,2,874,,l3reelgun,12,11,1,8,4,1217,,wakaba,6,3,3,7,5,1224,,52gal,9,8,1,6,5,1192,,bold,2,2,0,14,0,651,
