# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-10T00:00:00+00:00,1.1.2,bankara_challenge,asari,kinmedai,300,alpha,FALSE,,,,,74,,,,,0,,,tristringer,13,10,3,3,5,1272,,hissen,13,12,1,6,3,1112,,screwslosher,12,6,6,7,5,1463,,wakaba,4,3,1,6,5,1705,,barrelspinner,5,0,5,7,5,1292,,heroshooter_replica,12,10,2,12,1,1182,,bold,7,6,1,8,4,1689,,variableroller,7,6,1,5,3,1097,
Drizzle Season 2022,2022-10-10T00:00:00+00:00,1.1.2,bankara_open,yagura,yunohana,300,bravo,FALSE,A,,,,84,,,,,87,,,sharp,14,12,2,12,0,1062,,sharp,17,14,3,7,3,1315,,dualsweeper,15,8,7,5,5,1183,,tristringer,6,3,3,7,3,542,,promodeler_mg,14,11,3,8,5,1317,,wakaba,11,8,3,8,2,1322,,heroshooter_replica,9,8,1,10,4,863,,tristringer,7,4,3,11,2,651,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,sumeshi,124,bravo,TRUE,A,,,,0,,,,,100,,,sharp,6,6,0,5,1,482,,hydra,2,2,0,2,1,325,,quadhopper_black,3,3,0,5,1,421,,variableroller,0,0,0,5,0,437,,hydra,8,8,0,2,1,383,,sharp,6,4,2,4,0,374,,furo,5,4,1,2,2,635,,sputtery,2,1,1,3,1,420,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,yagara,308,bravo,FALSE,A,,,,38,,,,,96,,,sharp,9,7,2,12,2,1074,,screwslosher,16,13,3,9,4,1451,,nzap85,9,7,2,8,2,1043,,campingshelter,7,3,4,9,2,1007,,spygadget,20,16,4,5,8,1609,,dualsweeper,17,9,8,8,4,895,,screwslosher,10,7,3,10,5,1214,,dynamo,11,6,5,7,5,1186,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,yagara,81,alpha,TRUE,,,,,100,,,,,0,,,splatcharger,1,1,0,2,0,432,,hydra,4,4,0,1,1,338,,52gal,3,3,0,2,0,253,,splatroller,3,3,0,3,1,343,,dualsweeper,4,3,1,3,0,321,,nova,4,3,1,4,0,206,,jetsweeper,2,2,0,2,0,247,,liter4k,0,0,0,2,1,229,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,yagara,300,bravo,FALSE,,,,,52,,,,,82,,,splatcharger,5,5,0,6,2,1105,,hydra,8,4,4,6,5,1192,,sshooter,15,12,3,8,3,1145,,splatroller,6,5,1,10,2,842,,maneuver,19,16,3,5,4,1337,,bottlegeyser,6,5,1,7,2,1073,,variableroller,6,3,3,7,3,947,,dualsweeper,6,5,1,7,4,1344,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,sumeshi,244,alpha,TRUE,A,,,,100,,,,,0,,,sharp,14,11,3,6,2,1016,,sharp,11,6,5,6,2,834,,screwslosher,8,6,2,5,2,725,,screwslosher,11,10,1,7,2,890,,kugelschreiber,12,10,2,10,0,657,,maneuver,8,7,1,10,1,860,,nzap85,7,5,2,7,3,778,,sshooter,3,2,1,6,4,1018,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,sumeshi,129,alpha,TRUE,A,,,,100,,,,,0,,,sharp,3,1,2,4,0,410,,sharp,8,8,0,3,1,585,,screwslosher,2,1,1,3,1,451,,screwslosher,7,7,0,2,2,575,,variableroller,7,6,1,3,2,580,,parashelter,3,1,2,5,0,513,,hokusai,4,4,0,4,1,480,,dualsweeper,2,1,1,5,2,494,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,yagara,310,alpha,FALSE,A,,,,87,,,,,82,,,sharp,9,6,3,12,0,1132,,screwslosher,13,8,5,9,5,1435,,sharp,13,8,5,14,1,898,,screwslosher,9,7,2,9,4,1001,,prime,18,13,5,7,3,1026,,bold,18,15,3,8,6,1905,,squiclean_a,9,7,2,7,3,754,,prime,12,9,3,7,2,1155,
Drizzle Season 2022,2022-10-10T02:00:00+00:00,1.1.2,bankara_challenge,hoko,sumeshi,303,bravo,FALSE,A,,,,74,,,,,80,,,sharp,14,11,3,10,1,1080,,splatcharger,17,16,1,9,0,949,,sharp,9,7,2,8,2,1209,,quadhopper_black,7,4,3,8,2,1270,,pablo,18,11,7,11,1,753,,dualsweeper,15,9,6,8,3,1161,,sharp,8,5,3,10,1,909,,promodeler_mg,11,10,1,9,6,2085,
