# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,bravo,,,,3007,31.3,,,,3436,61.4,,,,furo,1,0,1,6,1,810,,pablo,5,5,0,4,3,1001,,promodeler_mg,0,0,0,6,1,744,,kelvin525,3,2,1,6,1,452,,lact450,6,4,2,1,4,1070,,pablo,11,6,5,1,3,984,,sshooter,9,9,0,2,2,878,,soytuber,4,3,1,3,1,504,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,bravo,,,,3345,36.9,,,,3562,52.8,,,,promodeler_mg,3,3,0,3,3,1298,,furo,2,0,2,2,3,886,,liter4k,6,6,0,3,2,677,,hokusai,3,3,0,5,1,484,,explosher,9,5,4,1,4,1178,,bold,3,3,0,4,2,897,,prime,5,2,3,4,1,771,,jimuwiper,4,3,1,3,3,716,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,bravo,,,,2891,31.7,,,,3534,60.3,,,,promodeler_mg,0,0,0,5,2,1157,,liter4k,3,3,0,2,2,656,,heroshooter_replica,1,1,0,5,1,554,,hissen,2,2,0,7,1,524,,heroshooter_replica,8,6,2,1,3,1059,,drivewiper,8,5,3,2,3,871,,sshooter,8,5,3,2,1,842,,jimuwiper,4,3,1,1,2,762,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,bravo,,,,2962,31.1,,,,3485,56.5,,,,promodeler_mg,2,1,1,6,1,987,,liter4k,5,4,1,0,2,690,,heroshooter_replica,4,4,0,4,2,665,,nzap85,3,0,3,6,1,620,,dualsweeper,3,1,2,3,2,923,,barrelspinner,3,3,0,2,3,904,,variableroller,5,5,0,1,3,856,,hokusai,7,6,1,4,2,802,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,bravo,,,,3547,44.7,,,,3483,46.6,,,,promodeler_mg,2,2,0,5,2,997,,bold,5,4,1,3,2,971,,promodeler_mg,4,4,0,5,2,888,,liter4k,8,6,2,1,2,691,,wakaba,7,6,1,4,3,1126,,maneuver,4,3,1,4,3,914,,heroshooter_replica,6,4,2,3,2,827,,pablo,2,1,1,5,1,616,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,namero,180,alpha,,,,3325,52.2,,,,3137,38.2,,,,heroshooter_replica,9,8,1,1,4,1038,,promodeler_mg,4,3,1,2,3,874,,liter4k,8,8,0,2,2,776,,clashblaster,5,4,1,1,3,637,,promodeler_mg,1,1,0,6,2,1046,,sharp,2,2,0,5,3,904,,rapid,1,1,0,3,2,876,,bottlegeyser,1,1,0,10,0,311,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,namero,180,alpha,,,,3204,53.8,,,,3043,40.0,,,,heroshooter_replica,11,10,1,4,2,979,,promodeler_mg,3,2,1,5,2,776,,maneuver,3,2,1,2,2,725,,liter4k,8,6,2,1,3,724,,pablo,3,3,0,3,2,974,,nzap85,7,6,1,8,0,762,,dualsweeper,2,0,2,4,2,726,,sputtery,4,3,1,5,1,581,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,alpha,,,,3268,51.3,,,,2956,33.9,,,,heroshooter_replica,7,5,2,4,3,786,,wakaba,6,4,2,1,3,1108,,pablo,5,3,2,3,2,805,,liter4k,5,4,1,1,1,569,,tristringer,2,1,1,1,4,970,,sshooter,3,2,1,5,2,771,,splatcharger,3,2,1,3,1,608,,bold,4,4,0,7,2,607,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,bravo,,,,3381,34.9,,,,3625,54.3,,,,heroshooter_replica,2,2,0,6,2,801,,wakaba,1,0,1,4,2,1042,,dualsweeper,2,2,0,3,3,880,,liter4k,3,3,0,2,2,658,,splatspinner,6,5,1,1,4,1210,,sharp,3,3,0,2,3,1030,,variableroller,0,0,0,2,2,748,,hotblaster,9,7,2,3,2,637,
Drizzle Season 2022,2022-09-27T06:00:00+00:00,1.1.1,regular,nawabari,chozame,180,bravo,,,,3435,38.0,,,,3653,53.5,,,,heroshooter_replica,4,4,0,5,2,727,,wakaba,6,4,2,2,3,1127,,52gal,4,4,0,5,2,904,,bamboo14mk1,3,1,2,2,2,677,,barrelspinner,5,4,1,1,4,1049,,nzap85,9,5,4,3,2,1041,,promodeler_mg,3,1,2,4,3,870,,maneuver,4,4,0,6,1,693,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,regular,nawabari,kinmedai,180,bravo,,,,3240,39.0,,,,3517,55.8,,,,tristringer,5,4,1,5,1,503,,wakaba,4,3,1,5,2,1110,,lact450,0,0,0,6,3,905,,bold,1,0,1,9,1,722,,pablo,7,5,2,2,3,917,,sshooter,10,8,2,3,2,912,,pablo,8,5,3,1,3,893,,liter4k_scope,12,7,5,1,3,795,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,regular,nawabari,zatou,180,bravo,,,,3238,38.1,,,,3550,54.4,,,,tristringer,5,3,2,3,2,594,,96gal,4,4,0,6,2,1193,,liter4k_scope,6,5,1,2,2,787,,jimuwiper,4,1,3,5,1,664,,lact450,2,1,1,2,4,1165,,hokusai,8,8,0,4,3,1069,,screwslosher,2,2,0,5,2,692,,splatcharger,6,5,1,2,2,624,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,regular,nawabari,zatou,180,bravo,,,,3176,43.6,,,,3169,45.2,,,,lact450,6,5,1,6,2,913,,pablo,4,4,0,4,3,1011,,splatscope,3,3,0,3,2,718,,splatscope,3,3,0,3,2,534,,screwslosher,5,4,1,2,3,972,,kelvin525,6,6,0,4,3,892,,splatroller,5,5,0,6,1,800,,splatcharger,2,1,1,3,2,505,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,bankara_challenge,asari,amabi,300,bravo,FALSE,,,,,0,,,,,39,,,sputtery,9,6,3,12,1,935,,splatroller,7,7,0,6,5,1078,,liter4k,5,5,0,6,5,1095,,sputtery,2,2,0,11,1,730,,hydra,14,14,0,3,2,773,,variableroller,12,9,3,8,2,1082,,wakaba,11,6,5,4,2,1299,,campingshelter,12,6,6,5,3,996,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,bankara_open,area,chozame,204,alpha,TRUE,,,,,100,,,,,0,,,wakaba,5,2,3,6,2,831,,campingshelter,4,2,2,2,3,959,,sharp,9,9,0,6,2,788,,sharp,7,6,1,7,1,726,,screwslosher,14,10,4,4,4,867,,lact450,6,6,0,3,7,1321,,quadhopper_black,3,0,3,6,4,691,,nautilus47,5,5,0,7,1,500,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,bankara_open,area,mahimahi,262,alpha,TRUE,,,,,100,,,,,0,,,wakaba,11,6,5,8,4,1062,,hydra,14,12,2,6,2,733,,quadhopper_black,14,11,3,8,3,903,,hydra,11,10,1,5,1,559,,dualsweeper,15,9,6,7,4,985,,longblaster,13,10,3,10,1,716,,furo,7,3,4,11,3,874,,hissen,7,4,3,13,0,637,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,bankara_open,area,chozame,221,bravo,TRUE,,,,,0,,,,,100,,,wakaba,4,4,0,6,4,1059,,wakaba,6,5,1,6,4,937,,hydra,4,4,0,4,3,534,,squiclean_a,3,3,0,9,3,479,,promodeler_mg,12,10,2,2,5,1459,,nzap85,10,6,4,4,3,897,,sputtery,6,3,3,7,2,412,,nzap85,7,4,3,3,3,777,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,regular,nawabari,zatou,180,alpha,,,,3534,49.3,,,,3426,40.8,,,,jetsweeper,6,4,2,4,2,668,,sharp,4,4,0,5,3,1204,,nzap85,2,2,0,5,3,1013,,lact450,2,0,2,5,1,649,,wakaba,8,6,2,3,3,1108,,heroshooter_replica,8,7,1,2,2,1055,,squiclean_a,5,4,1,5,2,692,,tristringer,4,2,2,0,2,571,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,bankara_open,area,chozame,156,bravo,TRUE,,,,,0,,,,,100,,,wakaba,5,4,1,5,2,683,,longblaster,7,6,1,4,2,630,,kelvin525,4,3,1,6,1,347,,bottlegeyser,0,0,0,4,2,354,,dynamo,10,8,2,3,2,572,,wakaba,10,6,4,3,3,855,,liter4k_scope,3,1,2,2,1,335,,hotblaster,6,4,2,5,1,394,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,regular,nawabari,kinmedai,180,bravo,,,,3201,42.3,,,,3227,45.7,,,,longblaster,7,6,1,3,2,628,,heroshooter_replica,10,7,3,2,4,1219,,squiclean_a,6,4,2,5,2,720,,tristringer,6,3,3,2,3,634,,wakaba,5,5,0,5,3,1078,,nzap85,2,2,0,6,2,968,,splatscope,3,3,0,2,2,684,,longblaster,2,2,0,7,0,497,
Drizzle Season 2022,2022-09-27T10:00:00+00:00,1.1.1,regular,nawabari,zatou,180,alpha,,,,3111,47.1,,,,2987,41.5,,,,longblaster,8,3,5,5,1,463,,lact450,6,4,2,3,4,1258,,squiclean_a,6,4,2,3,3,868,,tristringer,10,7,3,1,2,522,,nzap85,4,3,1,2,4,1248,,splatscope,1,1,0,5,1,638,,splatroller,4,2,2,5,1,557,,nova,6,6,0,6,1,544,
