# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-22T02:00:00+00:00,1.1.2,bankara_challenge,hoko,gonzui,300,alpha,FALSE,S+ 3,,,,49,,,,,48,,,nzap85,11,3,8,9,4,1103,,splatroller,18,17,1,10,3,1049,,kelvin525,12,10,2,11,4,864,,sharp,11,8,3,8,0,955,,sshooter,18,14,4,8,3,1215,,hydra,12,9,3,9,2,828,,bold,8,7,1,9,1,977,,splatroller,9,8,1,12,1,636,
Drizzle Season 2022,2022-10-22T02:00:00+00:00,1.1.2,regular,nawabari,chozame,180,alpha,,,,3383,46.2,,,,3269,42.6,,,,nzap85,2,2,0,5,2,724,,lact450,2,2,0,5,3,900,,promodeler_mg,1,0,1,4,2,888,,rapid,9,8,1,4,3,871,,barrelspinner,7,5,2,3,3,1077,,nautilus47,6,6,0,2,2,882,,squiclean_a,5,5,0,4,1,699,,tristringer,2,2,0,3,2,611,
Drizzle Season 2022,2022-10-22T02:00:00+00:00,1.1.2,regular,nawabari,chozame,180,bravo,,,,3784,36.7,,,,3847,52.1,,,,lact450,5,2,3,3,5,1147,,furo,3,2,1,3,3,1007,,pablo,4,3,1,6,1,865,,promodeler_mg,2,2,0,6,2,765,,bold,10,8,2,3,3,1133,,nzap85,8,3,5,1,3,1005,,dualsweeper,5,2,3,2,2,949,,sshooter,4,4,0,3,2,760,
Drizzle Season 2022,2022-10-22T02:00:00+00:00,1.1.2,regular,nawabari,chozame,180,alpha,,,,3216,45.0,,,,3134,37.3,,,,clashblaster,5,4,1,3,2,652,,furo,6,4,2,1,3,1105,,dualsweeper,9,4,5,2,3,981,,hotblaster,11,8,3,2,1,478,,promodeler_mg,0,0,0,3,3,1225,,wakaba,2,1,1,7,0,795,,sshooter,3,3,0,6,1,673,,maneuver,5,4,1,5,0,441,
Drizzle Season 2022,2022-10-22T02:00:00+00:00,1.1.2,regular,nawabari,kinmedai,180,bravo,,,,4075,42.2,,,,4116,44.9,,,,hissen,1,1,0,6,0,359,,bold,9,8,1,4,3,1352,,bold,5,5,0,3,5,1200,,variableroller,2,1,1,3,3,1164,,screwslosher,8,4,4,2,3,1140,,pablo,8,6,2,2,3,1016,,quadhopper_black,5,3,2,6,3,1011,,sharp,4,3,1,5,2,949,
Drizzle Season 2022,2022-10-22T02:00:00+00:00,1.1.2,regular,nawabari,chozame,180,bravo,,,,3418,42.0,,,,3477,47.7,,,,splatscope,1,1,0,2,2,466,,bold,10,10,0,3,3,1222,,nzap85,4,1,3,4,3,903,,liter4k,5,3,2,2,2,827,,wakaba,4,3,1,3,3,1157,,explosher,5,4,1,6,2,901,,nautilus47,2,2,0,3,2,837,,jetsweeper,3,2,1,3,1,582,
Drizzle Season 2022,2022-10-22T02:00:00+00:00,1.1.2,regular,nawabari,kinmedai,180,alpha,,,,3844,46.0,,,,3753,43.5,,,,52gal,3,3,0,6,1,682,,lact450,2,1,1,5,3,1116,,variableroller,10,8,2,3,3,1040,,heroshooter_replica,5,3,2,4,2,1006,,spygadget,8,6,2,3,4,1121,,sharp,7,5,2,2,2,1051,,52gal,4,3,1,3,3,1033,,jimuwiper,5,4,1,7,0,548,
Drizzle Season 2022,2022-10-22T04:00:00+00:00,1.1.2,regular,nawabari,gonzui,180,bravo,,,,2918,35.9,,,,3077,43.5,,,,bamboo14mk1,5,5,0,2,2,874,,kugelschreiber,2,1,1,3,1,712,,squiclean_a,3,2,1,4,2,678,,hydra,4,3,1,5,1,654,,spygadget,1,1,0,2,3,1074,,splatroller,7,7,0,4,2,770,,hydra,6,6,0,4,2,618,,liter4k,0,0,0,1,2,615,
Drizzle Season 2022,2022-10-22T04:00:00+00:00,1.1.2,regular,nawabari,gonzui,180,bravo,,,,3263,35.7,,,,3520,49.0,,,,bamboo14mk1,8,5,3,3,2,786,,wakaba,2,2,0,3,3,1124,,liter4k,3,3,0,4,2,700,,dynamo,5,3,2,6,2,653,,lact450,8,6,2,3,6,1562,,tristringer,4,2,2,0,3,731,,jimuwiper,8,6,2,4,2,645,,52gal,2,2,0,6,1,582,
Drizzle Season 2022,2022-10-22T04:00:00+00:00,1.1.2,regular,nawabari,gonzui,180,alpha,,,,3332,43.3,,,,3003,34.2,,,,bamboo14mk1,5,3,2,1,3,807,,furo,5,3,2,1,4,1245,,bottlegeyser,6,6,0,4,2,860,,liter4k,4,4,0,2,0,420,,nzap85,2,1,1,2,1,920,,wakaba,3,3,0,6,2,798,,variableroller,4,3,1,3,2,782,,splatroller,1,1,0,5,1,503,
