# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-11-08T00:00:00+00:00,1.2.1,bankara_challenge,area,chozame,92,bravo,TRUE,S+ 2,,,,0,,,,,100,,,heroshooter_replica,1,1,0,4,0,295,,variableroller,4,3,1,3,2,739,,hissen,3,3,0,4,0,304,,sharp,2,1,1,3,1,277,,quadhopper_black,7,6,1,2,2,541,,heroshooter_replica,6,3,3,1,1,463,,variableroller,4,2,2,2,1,226,,screwslosher,5,3,2,3,1,433,
Drizzle Season 2022,2022-11-08T04:00:00+00:00,1.2.1,bankara_challenge,asari,kinmedai,154,bravo,TRUE,S+ 1,,,,0,,,,,100,,,dualsweeper,6,5,1,5,2,748,,splatroller,2,2,0,4,2,702,,bottlegeyser,2,1,1,5,1,525,,kugelschreiber,0,0,0,3,3,629,,sharp,10,9,1,2,2,1022,,sshooter,3,2,1,2,3,708,,kugelschreiber,4,3,1,2,2,710,,carbon,3,3,0,2,2,466,
Drizzle Season 2022,2022-11-08T04:00:00+00:00,1.2.1,bankara_challenge,asari,mahimahi,294,bravo,TRUE,S+ 1,,,,0,,,,,100,,,dualsweeper,11,4,7,9,4,1075,,h3reelgun,15,5,10,7,5,1504,,splatroller,11,9,2,10,3,970,,prime,9,9,0,11,2,841,,sharp,17,13,4,7,3,1366,,tristringer,13,6,7,4,4,915,,pablo,14,11,3,9,3,1247,,52gal,10,7,3,7,4,1074,
Drizzle Season 2022,2022-11-08T04:00:00+00:00,1.2.1,bankara_challenge,asari,kinmedai,300,alpha,FALSE,S+ 1,,,,35,,,,,0,,,dualsweeper,10,8,2,7,3,811,,52gal,10,9,1,8,4,1116,,52gal,7,7,0,4,5,1139,,hydra,5,5,0,3,1,1109,,liter4k_scope,9,9,0,5,5,1202,,dualsweeper,7,5,2,8,3,1268,,rapid,7,4,3,9,1,992,,sputtery,4,4,0,7,1,724,
Drizzle Season 2022,2022-11-08T04:00:00+00:00,1.2.1,bankara_challenge,asari,mahimahi,199,bravo,TRUE,S+ 1,,,,0,,,,,100,,,dualsweeper,3,1,2,6,2,709,,52gal,7,6,1,5,2,764,,52gal,6,6,0,8,1,738,,hydra,5,4,1,7,0,579,,quadhopper_black,12,7,5,5,3,824,,longblaster,12,8,4,5,1,617,,wakaba,8,7,1,5,2,833,,bamboo14mk1,6,4,2,2,2,686,
Drizzle Season 2022,2022-11-08T08:00:00+00:00,1.2.1,bankara_challenge,asari,amabi,308,bravo,FALSE,,,,,20,,,,,35,,,soytuber,12,8,4,2,7,1358,,clashblaster,11,7,4,8,3,751,,hydra,9,8,1,2,6,1177,,kelvin525,7,6,1,7,4,1012,,rapid,8,6,2,9,1,1010,,sharp,5,5,0,6,2,970,,quadhopper_black,7,6,1,10,4,1325,,dualsweeper,3,2,1,5,4,1182,
Drizzle Season 2022,2022-11-08T08:00:00+00:00,1.2.1,bankara_open,yagura,gonzui,159,alpha,TRUE,S+ 6,,,,100,,,,,0,,,lact450,2,1,1,3,5,1034,,sshooter,7,7,0,4,2,700,,wakaba,1,1,0,4,3,623,,bucketslosher,6,6,0,2,4,782,,hydra,5,4,1,4,1,521,,hydra,5,5,0,4,1,357,,variableroller,2,2,0,2,6,1400,,splatroller,2,2,0,5,2,483,
Drizzle Season 2022,2022-11-08T08:00:00+00:00,1.2.1,bankara_open,yagura,zatou,300,bravo,FALSE,S+ 6,,,,60,,,,,76,,,lact450,5,4,1,4,9,2018,,52gal,12,10,2,14,2,929,,sshooter,7,5,2,6,5,1164,,52gal,8,6,2,10,4,1180,,52gal,14,14,0,5,8,1953,,barrelspinner,14,8,6,6,6,1596,,screwslosher,8,5,3,9,2,1094,,liter4k,8,7,1,5,1,459,
Drizzle Season 2022,2022-11-08T08:00:00+00:00,1.2.1,bankara_open,yagura,zatou,300,bravo,FALSE,S+ 6,,,,50,,,,,63,,,lact450,5,2,3,5,10,2168,,sshooter,13,8,5,7,5,1309,,52gal,9,9,0,11,2,671,,drivewiper,6,4,2,9,4,907,,dynamo,12,9,3,4,7,1684,,longblaster,13,8,5,7,2,771,,sshooter,12,8,4,7,2,1054,,hydra,9,7,2,5,4,1208,
Drizzle Season 2022,2022-11-08T10:00:00+00:00,1.2.1,bankara_open,area,chozame,128,bravo,TRUE,S,,,,0,,,,,100,,,sharp,2,0,2,6,1,354,,clashblaster,7,5,2,5,1,268,,wakaba,5,5,0,4,2,526,,liter4k_scope,4,4,0,2,2,436,,carbon,10,9,1,3,1,378,,bold,2,1,1,3,1,419,,prime,5,4,1,4,1,388,,bold,3,3,0,4,1,502,
