# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_open,area,mategai,300,alpha,FALSE,S+ 8,,,,96,,,,,62,,,liter4k_scope,11,8,3,2,5,1214,,maneuver,14,11,3,5,6,1648,,heroshooter_replica,14,11,3,6,4,1235,,longblaster,6,2,4,7,2,683,,explosher,9,8,1,6,6,1541,,sharp,9,6,3,7,5,1241,,wakaba,3,2,1,9,4,923,,sharp,4,4,0,10,2,968,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_open,area,kinmedai,300,bravo,FALSE,S+ 2,,,,63,,,,,81,,,heroshooter_replica,14,12,2,10,2,1155,,nautilus47,11,10,1,8,3,1260,,dualsweeper,10,5,5,10,4,1329,,variableroller,6,5,1,11,5,1333,,screwslosher,18,7,11,11,3,1226,,barrelspinner,17,12,5,4,6,1642,,promodeler_mg,11,11,0,10,5,1411,,variableroller,12,9,3,7,6,1355,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_challenge,hoko,yunohana,317,bravo,FALSE,S+ 2,,,,66,,,,,95,,,heroshooter_replica,12,11,1,9,2,943,,furo,11,6,5,5,5,1585,,variableroller,11,8,3,5,6,1640,,dynamo,6,5,1,11,2,786,,tristringer,18,10,8,6,6,1487,,tristringer,11,7,4,10,3,920,,sshooter,8,4,4,7,6,1546,,screwslosher,14,8,6,7,4,1099,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_challenge,hoko,sumeshi,300,bravo,FALSE,S+ 2,,,,64,,,,,68,,,heroshooter_replica,11,11,0,9,1,855,,tristringer,12,6,6,3,5,1008,,splatroller,8,6,2,11,1,1049,,nova,9,7,2,6,1,967,,sharp,14,13,1,9,1,1235,,sharp,8,5,3,7,3,977,,longblaster,8,6,2,6,2,809,,bold,6,5,1,8,2,1102,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_challenge,hoko,sumeshi,300,bravo,FALSE,S+ 2,,,,46,,,,,84,,,heroshooter_replica,10,7,3,11,1,881,,nzap85,13,11,2,10,5,1237,,pablo,11,8,3,8,4,1280,,dualsweeper,8,3,5,6,2,1003,,wakaba,15,8,7,6,4,1253,,52gal,13,11,2,8,2,1056,,sshooter,10,7,3,6,5,1121,,splatroller,10,8,2,9,1,845,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,regular,nawabari,yagara,180,bravo,,,,3772,41.8,,,,3625,49.9,,,,52gal,7,7,0,4,2,927,,bold,2,1,1,6,4,1193,,sshooter,1,1,0,2,2,863,,wakaba,5,5,0,6,2,789,,pablo,6,4,2,4,4,1160,,wakaba,8,8,0,4,2,893,,jetsweeper,5,3,2,2,3,800,,furo,4,3,1,4,2,772,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_challenge,hoko,sumeshi,76,bravo,TRUE,S,,,,0,,,,,100,,,splatcharger,1,1,0,1,1,352,,dualsweeper,3,1,2,2,0,289,,clashblaster,2,2,0,4,0,169,,hokusai,2,1,1,4,0,185,,nzap85,5,3,2,1,1,438,,bold,4,2,2,2,0,283,,52gal,4,4,0,1,0,293,,explosher,2,2,0,1,1,390,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_open,area,mategai,194,alpha,TRUE,S+ 8,,,,100,,,,,0,,,liter4k_scope,4,2,2,1,3,777,,sharp,15,13,2,3,1,672,,heroshooter_replica,14,7,7,2,4,992,,screwslosher,15,9,6,2,3,987,,explosher,3,1,2,7,2,1011,,campingshelter,3,3,0,9,1,395,,jimuwiper,3,2,1,7,1,752,,furo,2,2,0,8,3,937,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_challenge,hoko,yunohana,326,bravo,FALSE,S,,,,57,,,,,58,,,splatcharger,9,8,1,3,5,1262,,52gal,14,11,3,14,1,894,,clashblaster,13,9,4,14,2,900,,hokusai,12,10,2,14,1,1035,,sshooter,23,20,3,8,3,1195,,pablo,14,7,7,9,2,1239,,promodeler_mg,12,4,8,11,2,1142,,splatspinner,16,14,2,10,3,893,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_challenge,hoko,sumeshi,122,bravo,TRUE,S+ 2,,,,0,,,,,100,,,heroshooter_replica,2,2,0,4,0,458,,h3reelgun,4,2,2,3,1,469,,splatroller,2,2,0,4,1,336,,carbon,2,2,0,5,0,407,,bucketslosher,8,8,0,2,2,725,,pablo,5,2,3,3,1,392,,tristringer,6,3,3,0,2,506,,variableroller,4,3,1,3,1,472,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_open,area,kinmedai,300,alpha,FALSE,S+ 8,,,,69,,,,,61,,,liter4k_scope,15,10,5,4,4,1266,,52gal,17,10,7,6,6,1602,,dualsweeper,15,12,3,6,5,1469,,bold,9,6,3,8,6,1468,,wakaba,7,7,0,8,5,1578,,squiclean_a,7,7,0,10,3,945,,wakaba,5,5,0,7,8,1795,,wakaba,5,5,0,13,3,1224,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,regular,nawabari,mahimahi,180,bravo,,,,2823,41.1,,,,2864,51.1,,,,lact450,8,5,3,7,2,596,,wakaba,5,2,3,5,2,864,,tristringer,11,10,1,2,2,852,,clashblaster,6,5,1,6,1,511,,pablo,4,3,1,6,3,931,,sshooter,9,8,1,7,2,790,,jetsweeper,6,4,2,6,0,680,,sshooter,3,3,0,4,1,463,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,bankara_challenge,hoko,sumeshi,322,bravo,FALSE,S,,,,36,,,,,81,,,splatcharger,8,6,2,6,2,1051,,variableroller,18,15,3,10,3,1127,,wakaba,14,9,5,9,4,1216,,nova,9,6,3,11,3,715,,heroshooter_replica,18,12,6,7,5,1490,,sharp,9,6,3,8,3,1378,,hissen,9,7,2,10,0,606,,sputtery,14,11,3,11,0,771,
Drizzle Season 2022,2022-11-09T02:00:00+00:00,1.2.1,regular,nawabari,yagara,180,alpha,,,,3638,49.7,,,,3643,39.1,,,,lact450,5,4,1,1,4,1008,,pablo,9,7,2,2,3,1285,,jetsweeper,2,2,0,1,2,786,,clashblaster,7,5,2,2,2,559,,wakaba,1,1,0,4,2,1111,,sshooter,3,3,0,5,2,917,,bold,0,0,0,5,3,890,,hokusai,3,2,1,4,1,725,
