# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,amabi,180,alpha,,,,4068,53.0,,,,3819,35.7,,,,lact450,3,2,1,2,6,1242,,sputtery,7,5,2,4,3,1029,,pablo,7,7,0,1,4,936,,explosher,4,2,2,1,3,861,,lact450,1,0,1,2,8,1752,,drivewiper,4,3,1,3,2,842,,drivewiper,5,3,2,5,2,750,,drivewiper,3,2,1,6,0,475,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,amabi,180,bravo,,,,4224,45.7,,,,4110,46.1,,,,lact450,5,5,0,2,6,1412,,promodeler_mg,5,3,2,3,1,1155,,promodeler_mg,5,4,1,2,3,1000,,jimuwiper,1,1,0,3,1,657,,lact450,1,1,0,3,5,1394,,bold,2,2,0,1,4,1180,,drivewiper,6,6,0,4,3,959,,quadhopper_black,1,1,0,5,2,577,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,namero,180,alpha,,,,3262,48.1,,,,3275,41.8,,,,variableroller,4,3,1,2,4,1041,,soytuber,3,2,1,1,4,859,,squiclean_a,5,5,0,5,2,691,,drivewiper,9,7,2,4,2,671,,promodeler_mg,6,4,2,2,4,1161,,sshooter,1,1,0,2,4,1094,,sshooter,6,5,1,6,1,510,,bold,2,2,0,7,1,510,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,amabi,180,alpha,,,,3833,52.5,,,,3462,31.5,,,,variableroller,4,3,1,5,3,896,,explosher,5,4,1,1,4,1420,,bold,1,1,0,5,2,871,,bold,6,6,0,6,1,646,,promodeler_mg,7,6,1,4,3,1339,,tristringer,8,5,3,2,3,753,,kelvin525,5,4,1,5,1,707,,hydra,4,2,2,3,2,663,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,amabi,180,bravo,,,,3308,42.1,,,,3554,48.5,,,,variableroller,6,5,1,3,3,1016,,promodeler_mg,2,1,1,3,1,1362,,liter4k,4,3,1,5,1,538,,liter4k,2,2,0,6,0,392,,lact450,2,2,0,2,5,1212,,bold,10,8,2,4,2,835,,barrelspinner,2,2,0,3,2,769,,hokusai,5,5,0,2,1,738,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,amabi,180,bravo,,,,3197,41.6,,,,3329,46.1,,,,variableroller,3,1,2,2,5,1052,,bold,8,8,0,5,1,985,,carbon,8,7,1,4,1,628,,liter4k,3,3,0,5,1,532,,promodeler_mg,4,3,1,5,2,1180,,bold,11,10,1,5,3,1119,,sharp,3,3,0,6,1,519,,liter4k,0,0,0,3,1,511,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,namero,180,bravo,,,,3171,44.1,,,,3103,44.6,,,,variableroller,5,4,1,1,4,992,,heroshooter_replica,6,5,1,6,2,854,,splatspinner,3,1,2,7,2,773,,liter4k,4,3,1,1,2,552,,squiclean_a,7,6,1,2,2,1059,,explosher,8,2,6,2,2,935,,sputtery,6,4,2,5,2,634,,tristringer,3,2,1,4,0,475,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,amabi,180,bravo,,,,3541,39.4,,,,3762,49.1,,,,variableroller,3,2,1,5,4,990,,lact450,2,2,0,4,3,1138,,tristringer,3,2,1,0,3,859,,bottlegeyser,3,3,0,4,1,554,,heroshooter_replica,6,4,2,3,3,1157,,lact450,3,2,1,1,5,1097,,splatspinner,6,6,0,3,4,881,,splatscope,1,1,0,2,1,627,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,namero,180,alpha,,,,3320,57.0,,,,3064,33.1,,,,variableroller,6,4,2,4,4,1008,,lact450,9,9,0,4,2,929,,nzap85,10,6,4,5,3,857,,drivewiper,7,5,2,3,2,526,,nzap85,9,6,3,6,2,948,,hokusai,4,4,0,7,2,858,,bottlegeyser,4,4,0,5,2,779,,splatscope,6,2,4,6,1,479,
Drizzle Season 2022,2022-10-23T04:00:00+00:00,1.1.2,regular,nawabari,namero,180,alpha,,,,4298,49.4,,,,4209,40.4,,,,variableroller,4,3,1,2,4,1028,,lact450,2,0,2,2,6,1827,,screwslosher,10,5,5,0,3,861,,heroshooter_replica,6,6,0,6,1,582,,lact450,0,0,0,4,5,1515,,lact450,4,4,0,2,4,1333,,screwslosher,5,5,0,3,2,754,,nzap85,1,1,0,6,1,607,
