# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,sumeshi,305,bravo,FALSE,,,,,36,,,,,80,,,longblaster,7,5,2,9,4,1090,,jimuwiper,10,9,1,9,1,944,,screwslosher,9,6,3,12,3,1075,,parashelter,9,4,5,12,3,1058,,screwslosher,19,13,6,6,4,1148,,bucketslosher,15,11,4,5,4,1253,,longblaster,16,13,3,7,3,825,,wakaba,9,4,5,6,2,1163,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,sumeshi,324,alpha,FALSE,S+ 18,,,,91,,,,,71,,,squiclean_a,13,5,8,7,2,913,,longblaster,14,12,2,7,4,1003,,hokusai,15,11,4,11,4,1177,,sshooter,12,8,4,10,4,1509,,pablo,16,11,5,8,7,1669,,52gal,15,14,1,10,4,1241,,hissen,11,7,4,10,2,872,,bamboo14mk1,8,3,5,8,5,1050,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,sumeshi,166,alpha,TRUE,,,,,100,,,,,0,,,longblaster,7,3,4,4,2,441,,sharp,9,6,3,4,2,715,,sshooter,8,5,3,3,3,923,,longblaster,6,6,0,3,2,576,,sharp,7,3,4,5,2,669,,wakaba,6,5,1,5,2,776,,squiclean_a,6,2,4,6,0,371,,variableroller,4,4,0,4,3,810,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,kinmedai,215,bravo,TRUE,,,,,0,,,,,100,,,longblaster,2,1,1,10,1,763,,nova,9,7,2,9,2,579,,sharp,7,5,2,8,2,800,,sputtery,6,4,2,11,2,747,,sharp,19,14,5,4,2,862,,furo,13,7,6,3,5,1248,,liter4k,11,8,3,4,2,539,,screwslosher,17,9,8,6,1,843,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,sumeshi,308,alpha,FALSE,,,,,69,,,,,54,,,longblaster,9,6,3,4,4,937,,sharp,13,8,5,6,5,1540,,longblaster,12,5,7,8,3,905,,sshooter,12,10,2,7,3,1319,,barrelspinner,11,7,4,6,6,1422,,sharp,9,7,2,6,5,1264,,maneuver,8,4,4,9,4,1365,,52gal,9,7,2,8,4,1039,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,kinmedai,67,bravo,TRUE,,,,,0,,,,,100,,,heroshooter_replica,3,1,2,3,0,281,,campingshelter,2,2,0,2,0,206,,explosher,0,0,0,2,1,394,,liter4k,1,0,1,2,0,247,,liter4k,3,1,2,0,1,282,,promodeler_mg,4,4,0,2,1,342,,hotblaster,3,2,1,0,1,257,,hydra,2,2,0,1,2,409,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,kinmedai,155,alpha,TRUE,,,,,100,,,,,0,,,longblaster,5,4,1,4,2,625,,sshooter,7,6,1,5,3,675,,longblaster,7,3,4,5,1,447,,lact450,3,2,1,1,4,904,,wakaba,8,7,1,3,3,887,,barrelspinner,3,1,2,6,1,634,,liter4k,5,5,0,4,1,512,,longblaster,3,2,1,3,1,435,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,sumeshi,322,bravo,FALSE,,,,,48,,,,,70,,,heroshooter_replica,5,5,0,9,5,1228,,sharp,12,6,6,9,4,1287,,nova,9,9,0,16,0,589,,nzap85,5,4,1,8,3,1375,,splatscope,14,12,2,3,5,902,,hotblaster,14,11,3,8,2,844,,variableroller,18,11,7,4,6,1302,,promodeler_mg,13,8,5,9,7,1457,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,sumeshi,300,bravo,FALSE,,,,,39,,,,,81,,,longblaster,7,4,3,6,3,774,,sshooter,13,10,3,8,4,1701,,barrelspinner,9,4,5,10,1,1244,,longblaster,8,7,1,7,1,784,,variableroller,10,9,1,5,7,1285,,sharp,12,10,2,7,5,1296,,rapid,11,6,5,7,4,1055,,screwslosher,9,6,3,6,4,1516,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,kinmedai,307,alpha,FALSE,,,,,49,,,,,24,,,nova,13,7,6,8,4,886,,rapid_elite,21,11,10,3,4,768,,bottlegeyser,17,8,9,7,2,1112,,furo,15,7,8,6,6,1907,,variableroller,8,8,0,8,6,1575,,nova,7,7,0,11,0,763,,jetsweeper,4,3,1,2,7,1456,,splatroller,6,6,0,12,3,944,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,kinmedai,167,alpha,TRUE,,,,,100,,,,,0,,,dynamo,6,1,5,3,2,488,,52gal,13,13,0,4,3,851,,liter4k_scope,5,3,2,3,3,661,,wakaba,6,3,3,5,2,791,,clashblaster,8,7,1,6,2,538,,lact450,4,2,2,2,5,1121,,tristringer,4,2,2,5,1,478,,sputtery,6,4,2,7,1,563,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,sumeshi,303,bravo,FALSE,,,,,27,,,,,38,,,dynamo,8,5,3,5,5,995,,splatroller,11,10,1,7,3,972,,screwslosher,6,4,2,5,3,1092,,maneuver,8,6,2,9,1,926,,liter4k,11,9,2,4,3,935,,wakaba,11,8,3,7,5,1393,,tristringer,7,1,6,6,4,956,,wakaba,10,8,2,8,3,1096,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,kinmedai,300,bravo,FALSE,,,,,46,,,,,83,,,nova,7,3,4,8,3,796,,screwslosher,13,9,4,5,4,1084,,furo,10,5,5,6,6,1693,,lact450,10,6,4,3,11,2084,,sshooter,11,11,0,7,5,1405,,96gal,3,1,2,8,6,1775,,splatroller,9,5,4,7,3,1016,,jetsweeper,8,5,3,1,6,1306,
Drizzle Season 2022,2022-09-29T02:00:00+00:00,1.1.1,bankara_challenge,yagura,kinmedai,308,bravo,FALSE,,,,,12,,,,,89,,,liter4k,5,2,3,6,4,896,,screwslosher,16,10,6,9,3,1332,,sharp,13,10,3,8,2,1333,,splatroller,8,8,0,12,1,915,,liter4k,15,12,3,4,5,900,,wakaba,9,8,1,8,6,1388,,96gal,11,10,1,5,5,1368,,jimuwiper,9,5,4,15,4,961,
