# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-09-26T02:00:00+00:00,1.1.1,bankara_open,area,mahimahi,257,bravo,TRUE,B,,,,0,,,,,100,,,hokusai,15,13,2,11,1,882,,wakaba,9,7,2,9,4,1136,,prime,5,4,1,7,3,893,,52gal,3,2,1,9,2,817,,longblaster,17,8,9,9,2,629,,variableroller,13,7,6,4,5,1320,,clashblaster,16,13,3,9,2,709,,variableroller,10,8,2,4,5,1152,
Drizzle Season 2022,2022-09-26T02:00:00+00:00,1.1.1,bankara_open,area,mahimahi,239,alpha,TRUE,B,,,,100,,,,,0,,,hokusai,16,14,2,9,1,1011,,furo,10,4,6,4,5,1378,,nzap85,7,2,5,7,3,819,,sshooter,8,7,1,8,3,756,,barrelspinner,12,10,2,4,3,1156,,drivewiper,11,6,5,5,1,698,,promodeler_mg,8,4,4,9,2,1216,,maneuver,10,7,3,9,2,843,
Drizzle Season 2022,2022-09-26T02:00:00+00:00,1.1.1,bankara_open,area,mahimahi,74,bravo,TRUE,B,,,,0,,,,,100,,,hokusai,1,1,0,4,0,288,,splatroller,1,1,0,3,0,308,,96gal,0,0,0,4,1,297,,rapid,0,0,0,4,0,231,,maneuver,9,6,3,0,1,304,,screwslosher,5,3,2,0,1,414,,bold,5,2,3,0,1,306,,kugelschreiber,6,4,2,2,0,202,
Drizzle Season 2022,2022-09-26T02:00:00+00:00,1.1.1,bankara_open,area,gonzui,248,alpha,TRUE,B,,,,100,,,,,0,,,hokusai,6,5,1,8,2,866,,liter4k,21,16,5,0,5,997,,prime,11,7,4,3,4,825,,campingshelter,5,3,2,3,3,701,,96gal,7,6,1,5,5,1034,,prime,3,3,0,9,2,729,,jimuwiper,3,3,0,8,2,807,,variableroller,2,2,0,9,3,848,
Drizzle Season 2022,2022-09-26T02:00:00+00:00,1.1.1,bankara_open,area,mahimahi,235,alpha,TRUE,B,,,,100,,,,,0,,,hokusai,18,16,2,6,1,930,,rapid_elite,11,6,5,4,2,605,,furo,10,6,4,5,3,1079,,bold,11,8,3,7,1,884,,carbon,9,9,0,11,1,551,,nzap85,4,3,1,8,3,1053,,lact450,3,2,1,8,5,1193,,sshooter,7,7,0,9,1,745,
Drizzle Season 2022,2022-09-26T02:00:00+00:00,1.1.1,bankara_challenge,asari,chozame,300,alpha,FALSE,S+ 14,,,,29,,,,,23,,,furo,7,5,2,7,4,1509,,sharp,8,7,1,5,3,1496,,splatroller,8,8,0,10,1,800,,sharp,5,3,2,7,4,1235,,variableroller,11,8,3,7,4,1303,,52gal,15,9,6,8,4,1111,,hydra,12,11,1,4,4,1156,,lact450,2,1,1,5,7,1708,
Drizzle Season 2022,2022-09-26T04:00:00+00:00,1.1.1,regular,nawabari,yagara,180,bravo,,,,3499,33.8,,,,4040,59.1,,,,nzap85,3,3,0,7,1,547,,lact450,0,0,0,7,3,1003,,lact450,3,3,0,4,3,993,,wakaba,1,0,1,6,3,956,,sharp,8,7,1,1,3,1301,,sharp,4,3,1,2,3,1290,,hydra,6,2,4,0,3,744,,longblaster,12,11,1,3,2,705,
Drizzle Season 2022,2022-09-26T04:00:00+00:00,1.1.1,bankara_open,hoko,mategai,300,alpha,FALSE,S,,,,84,,,,,81,,,screwslosher,17,16,1,7,4,1477,,screwslosher,9,6,3,9,3,1269,,hydra,7,5,2,9,2,829,,liter4k,8,7,1,9,1,822,,52gal,21,21,0,10,5,1323,,wakaba,11,8,3,7,3,1375,,sshooter,5,2,3,10,1,1110,,sshooter,3,3,0,7,4,1122,
Drizzle Season 2022,2022-09-26T04:00:00+00:00,1.1.1,bankara_challenge,yagura,mahimahi,237,alpha,TRUE,,,,,100,,,,,0,,,nautilus47,14,12,2,8,3,1002,,hotblaster,13,8,5,6,3,635,,clashblaster,11,9,2,12,1,581,,dualsweeper,10,8,2,7,2,921,,96gal,18,16,2,10,1,962,,variableroller,12,8,4,11,1,557,,jimuwiper,7,4,3,10,0,767,,screwslosher,8,5,3,7,2,742,
Drizzle Season 2022,2022-09-26T04:00:00+00:00,1.1.1,bankara_challenge,yagura,masaba,300,bravo,FALSE,S,,,,44,,,,,98,,,screwslosher,7,4,3,6,5,1366,,squiclean_a,14,13,1,7,3,1137,,heroshooter_replica,11,9,2,8,3,915,,barrelspinner,3,2,1,11,2,737,,52gal,17,14,3,5,6,1430,,wakaba,9,7,2,6,5,1436,,dualsweeper,10,5,5,9,1,738,,clashblaster,6,6,0,8,3,674,
Drizzle Season 2022,2022-09-26T04:00:00+00:00,1.1.1,bankara_challenge,yagura,masaba,64,bravo,TRUE,,,,,0,,,,,100,,,nautilus47,0,0,0,3,0,222,,hotblaster,0,0,0,3,0,213,,clashblaster,0,0,0,3,0,139,,dualsweeper,0,0,0,3,0,215,,sshooter,5,5,0,0,2,500,,sshooter,5,1,4,0,2,346,,tristringer,5,3,2,0,1,226,,clashblaster,4,3,1,0,1,144,
Drizzle Season 2022,2022-09-26T04:00:00+00:00,1.1.1,bankara_challenge,yagura,mahimahi,301,bravo,FALSE,S,,,,83,,,,,84,,,screwslosher,9,6,3,8,4,1083,,liter4k,12,9,3,9,2,670,,explosher,5,2,3,10,3,941,,clashblaster,12,11,1,8,2,800,,screwslosher,18,14,4,6,6,1464,,hotblaster,13,11,2,8,2,688,,tristringer,14,5,9,6,4,747,,liter4k_scope,7,5,2,10,2,641,
Drizzle Season 2022,2022-09-26T04:00:00+00:00,1.1.1,bankara_challenge,yagura,masaba,203,alpha,TRUE,,,,,100,,,,,0,,,nautilus47,13,10,3,4,3,798,,sshooter,10,9,1,2,6,1112,,variableroller,5,2,3,4,4,840,,sputtery,3,2,1,7,0,350,,sharp,3,1,2,6,3,880,,bold,10,10,0,7,2,792,,sshooter,3,2,1,8,1,604,,liter4k,5,4,1,2,3,697,
