# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-20T00:00:00+00:00,1.1.2,bankara_open,area,yagara,78,bravo,TRUE,S+ 1,,,,0,,,,,100,,,dualsweeper,0,0,0,1,1,271,,variableroller,1,1,0,3,0,428,,52gal,1,1,0,4,1,409,,liter4k,0,0,0,3,0,162,,lact450,7,7,0,0,3,701,,splatscope,3,2,1,1,0,213,,dualsweeper,2,2,0,1,1,433,,nzap85,0,0,0,0,1,197,
Drizzle Season 2022,2022-10-20T00:00:00+00:00,1.1.2,regular,nawabari,namero,180,alpha,,,,3236,52.4,,,,3136,39.4,,,,dualsweeper,2,1,1,3,2,678,,sshooter,4,4,0,1,3,978,,52gal,2,2,0,2,3,850,,hokusai,4,4,0,4,1,730,,heroshooter_replica,4,4,0,2,3,983,,barrelspinner,2,1,1,1,1,835,,nzap85,2,2,0,4,2,758,,jimuwiper,3,3,0,4,0,560,
Drizzle Season 2022,2022-10-20T00:00:00+00:00,1.1.2,regular,nawabari,namero,180,bravo,,,,2552,28.3,,,,3133,64.5,,,,dualsweeper,5,3,2,0,1,730,,nautilus47,1,1,0,5,1,698,,liter4k,1,0,1,4,1,592,,barrelspinner,3,2,1,7,1,532,,hokusai,6,5,1,2,1,918,,lact450,1,1,0,0,3,852,,sharp,4,4,0,2,2,753,,longblaster,6,5,1,2,2,610,
Drizzle Season 2022,2022-10-20T00:00:00+00:00,1.1.2,regular,nawabari,mategai,180,bravo,,,,3240,43.2,,,,3355,49.7,,,,dualsweeper,1,0,1,1,2,639,,wakaba,5,5,0,1,2,1193,,wakaba,1,1,0,6,1,722,,hydra,0,0,0,3,2,686,,lact450,2,2,0,0,5,1167,,wakaba,1,1,0,5,2,923,,liter4k,4,4,0,1,2,664,,liter4k,4,4,0,0,2,601,
Drizzle Season 2022,2022-10-20T00:00:00+00:00,1.1.2,regular,nawabari,namero,180,bravo,,,,3172,38.8,,,,3340,54.5,,,,dualsweeper,0,0,0,3,1,857,,tristringer,5,5,0,1,4,1046,,liter4k_scope,2,2,0,0,1,666,,wakaba,2,1,1,7,1,603,,lact450,2,1,1,0,4,1047,,hydra,9,9,0,2,3,912,,lact450,0,0,0,4,2,781,,liter4k,1,1,0,2,2,600,
Drizzle Season 2022,2022-10-20T00:00:00+00:00,1.1.2,regular,nawabari,namero,180,alpha,,,,3257,54.4,,,,2881,37.1,,,,dualsweeper,5,4,1,2,0,751,,wakaba,1,1,0,2,2,1047,,tristringer,6,3,3,0,3,783,,longblaster,10,8,2,4,2,676,,lact450,2,2,0,2,3,942,,sshooter,4,4,0,3,2,836,,nzap85,0,0,0,6,2,572,,sshooter,3,2,1,5,0,531,
Drizzle Season 2022,2022-10-20T06:00:00+00:00,1.1.2,bankara_challenge,asari,gonzui,283,bravo,TRUE,S+ 19,,,,0,,,,,100,,,rapid,6,2,4,4,4,1189,,nautilus47,17,15,2,9,2,955,,nzap85,7,3,4,9,1,828,,splatscope,4,3,1,8,1,532,,screwslosher,13,8,5,9,3,801,,sshooter,12,10,2,6,4,1021,,liter4k,11,9,2,3,3,970,,dualsweeper,4,3,1,5,4,1051,
Drizzle Season 2022,2022-10-20T06:00:00+00:00,1.1.2,bankara_challenge,asari,gonzui,202,bravo,TRUE,S+ 19,,,,0,,,,,100,,,rapid,5,2,3,5,1,782,,kelvin525,7,6,1,7,2,550,,wakaba,5,2,3,7,2,762,,hokusai,4,3,1,7,2,649,,variableroller,12,9,3,2,3,891,,screwslosher,8,6,2,4,2,753,,liter4k,7,4,3,2,2,657,,dualsweeper,8,7,1,5,2,814,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,namero,302,alpha,FALSE,S+ 19,,,,52,,,,,51,,,rapid,9,6,3,6,4,1086,,quadhopper_black,14,11,3,8,2,1041,,96gal,8,3,5,7,4,1028,,quadhopper_black,12,9,3,8,2,1003,,hydra,11,9,2,5,5,1146,,sharp,11,10,1,8,4,1029,,longblaster,10,7,3,9,2,592,,96gal,3,3,0,7,4,1337,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,chozame,138,alpha,TRUE,S+ 19,,,,100,,,,,0,,,rapid,7,5,2,1,3,655,,sshooter,7,6,1,3,3,656,,longblaster,6,5,1,5,1,431,,hydra,4,3,1,3,2,435,,52gal,5,4,1,4,1,428,,barrelspinner,4,3,1,4,2,700,,longblaster,4,4,0,5,1,361,,hotblaster,1,1,0,6,0,243,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,chozame,317,bravo,FALSE,S+ 19,,,,87,,,,,90,,,rapid,12,7,5,7,6,1383,,splatcharger,14,12,2,7,4,897,,hotblaster,15,9,6,6,4,909,,sshooter,10,7,3,9,3,1201,,h3reelgun,14,7,7,9,4,1178,,nzap85,13,9,4,7,6,1288,,screwslosher,10,7,3,11,4,1098,,rapid,9,6,3,8,3,869,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,namero,292,alpha,TRUE,S+ 19,,,,100,,,,,0,,,rapid,8,5,3,4,5,1081,,liter4k,15,12,3,3,5,807,,wakaba,12,9,3,4,5,1416,,kelvin525,6,4,2,11,4,808,,furo,10,7,3,8,4,1532,,bucketslosher,9,6,3,11,2,798,,sharp,8,4,4,5,2,1000,,liter4k,4,4,0,6,2,543,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,chozame,107,alpha,TRUE,S+ 19,,,,100,,,,,0,,,rapid,3,0,3,2,1,407,,52gal,10,10,0,2,3,553,,hokusai,2,2,0,2,0,452,,sharp,1,1,0,2,1,508,,barrelspinner,5,2,3,3,2,469,,96gal,4,4,0,3,1,417,,longblaster,2,1,1,4,0,307,,wakaba,1,1,0,3,1,727,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,namero,266,bravo,TRUE,S+ 19,,,,0,,,,,100,,,rapid,6,2,4,11,2,916,,maneuver,11,10,1,8,3,967,,l3reelgun,6,4,2,12,2,1038,,splatscope,2,2,0,7,2,565,,sshooter,17,14,3,4,5,1006,,liter4k,14,9,5,4,5,710,,sharp,10,6,4,5,5,906,,screwslosher,13,9,4,5,6,1153,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,namero,97,alpha,TRUE,S+ 19,,,,100,,,,,0,,,rapid,8,4,4,1,2,454,,wakaba,8,6,2,0,3,617,,liter4k,2,2,0,3,0,255,,longblaster,6,3,3,2,1,379,,wakaba,3,3,0,3,2,569,,nzap85,4,2,2,4,1,423,,clashblaster,1,0,1,5,0,275,,liter4k_scope,1,1,0,3,0,311,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,namero,305,alpha,FALSE,S+ 19,,,,61,,,,,60,,,rapid,13,5,8,7,4,1051,,longblaster,13,11,2,8,4,954,,splatroller,9,7,2,10,3,807,,carbon,11,10,1,7,1,703,,hydra,14,11,3,7,4,867,,rapid_elite,12,8,4,9,2,909,,52gal,8,6,2,8,4,1062,,variableroller,8,7,1,9,4,796,
Drizzle Season 2022,2022-10-20T08:00:00+00:00,1.1.2,bankara_challenge,yagura,chozame,300,alpha,FALSE,S+ 19,,,,49,,,,,12,,,rapid,6,1,5,7,3,847,,kelvin525,13,12,1,9,4,986,,hydra,8,7,1,3,4,890,,52gal,10,10,0,8,3,875,,longblaster,11,9,2,10,2,936,,liter4k,8,7,1,5,3,801,,sharp,8,6,2,11,3,1103,,hydra,5,5,0,4,4,968,
