# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,bankara_open,area,mategai,300,bravo,FALSE,,,,,83,,,,,94,,,campingshelter,5,3,2,2,4,1238,,soytuber,11,10,1,8,2,586,,furo,7,6,1,8,3,1019,,furo,6,5,1,8,4,1295,,kelvin525,10,9,1,4,6,1120,,sputtery,9,5,4,8,5,1349,,liter4k,9,8,1,6,3,696,,hydra,4,4,0,6,3,822,
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,bankara_open,area,mategai,318,bravo,FALSE,,,,,49,,,,,75,,,campingshelter,5,3,2,1,5,1313,,wakaba,11,9,2,6,6,1479,,furo,8,6,2,8,5,1283,,sharp,6,5,1,11,2,953,,heroshooter_replica,12,9,3,7,4,1264,,promodeler_mg,6,6,0,5,7,1860,,liter4k,9,6,3,3,4,1075,,splatroller,8,5,3,8,2,780,
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,122,alpha,TRUE,,,,,100,,,,,0,,,campingshelter,2,2,0,1,2,724,,lact450,5,4,1,2,4,1074,,52gal,5,3,2,4,1,499,,screwslosher,1,1,0,2,1,425,,explosher,7,3,4,2,3,794,,tristringer,3,1,2,1,3,637,,furo,4,3,1,3,2,579,,clashblaster,3,2,1,4,1,380,
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,bankara_open,area,mategai,300,bravo,FALSE,,,,,63,,,,,87,,,campingshelter,0,0,0,3,4,1259,,sshooter,15,14,1,7,3,1184,,tristringer,11,7,4,6,4,866,,liter4k,12,9,3,5,3,874,,splatroller,10,9,1,9,3,870,,sshooter,4,3,1,7,6,1337,,prime,7,6,1,9,2,802,,liter4k,3,3,0,5,5,1032,
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,regular,nawabari,yunohana,180,alpha,,,,3116,60.2,,,,2875,35.3,,,,wakaba,3,3,0,1,2,905,,furo,2,2,0,3,2,805,,sharp,4,1,3,1,2,736,,splatroller,9,9,0,2,1,670,,variableroller,1,1,0,6,1,787,,sshooter,3,3,0,3,2,739,,bold,1,1,0,4,1,721,,bucketslosher,2,2,0,3,1,628,
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,284,bravo,TRUE,,,,,0,,,,,100,,,campingshelter,2,1,1,1,3,1626,,hydra,11,11,0,6,4,1055,,splatroller,6,5,1,5,5,1055,,hokusai,4,4,0,9,6,1129,,variableroller,10,8,2,6,6,1442,,wakaba,8,6,2,5,4,1261,,hydra,7,4,3,3,5,1131,,furo,7,3,4,7,4,976,
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,86,alpha,TRUE,,,,,100,,,,,0,,,campingshelter,3,0,3,0,1,476,,nzap85,5,5,0,1,0,128,,lact450,0,0,0,1,3,648,,pablo,2,2,0,2,2,535,,dynamo,2,1,1,2,1,298,,52gal,1,1,0,1,2,484,,hissen,1,1,0,2,2,410,,nzap85,1,1,0,2,2,472,
Drizzle Season 2022,2022-10-15T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,299,alpha,TRUE,,,,,100,,,,,0,,,sharp,14,12,2,8,4,1081,,explosher,9,5,4,2,6,1609,,splatroller,8,8,0,10,2,877,,promodeler_mg,7,6,1,10,2,1178,,squiclean_a,16,6,10,7,6,975,,splatroller,11,11,0,10,0,969,,96gal,11,6,5,10,6,1433,,liter4k_scope,12,7,5,4,5,1083,
Drizzle Season 2022,2022-10-15T08:00:00+00:00,1.1.2,bankara_challenge,hoko,sumeshi,105,bravo,TRUE,S+ 9,,,,0,,,,,100,,,variableroller,1,0,1,2,3,609,,furo,5,3,2,3,2,561,,wakaba,3,3,0,4,1,529,,52gal,1,1,0,5,0,165,,liter4k,9,4,5,0,2,479,,splatroller,5,5,0,1,1,503,,sshooter,2,2,0,2,2,397,,quadhopper_black,4,3,1,4,0,403,
Drizzle Season 2022,2022-10-15T08:00:00+00:00,1.1.2,bankara_open,area,gonzui,110,bravo,TRUE,S+ 9,,,,0,,,,,100,,,variableroller,0,0,0,2,3,690,,nzap85,2,2,0,4,1,456,,variableroller,0,0,0,4,2,591,,dualsweeper,0,0,0,3,2,481,,nzap85,5,2,3,0,3,711,,splatroller,4,4,0,1,1,379,,splatscope,4,4,0,0,1,475,,dualsweeper,3,3,0,1,1,487,
