# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-21T00:00:00+00:00,1.1.2,bankara_challenge,yagura,mahimahi,114,alpha,TRUE,S+ 29,,,,100,,,,,0,,,sshooter,6,3,3,2,2,569,,explosher,9,6,3,0,2,631,,liter4k,8,7,1,1,2,375,,sshooter,4,1,3,4,1,297,,longblaster,5,4,1,5,1,433,,bottlegeyser,1,0,1,4,1,325,,sshooter,3,2,1,4,1,484,,sharp,1,1,0,5,1,413,
Drizzle Season 2022,2022-10-21T02:00:00+00:00,1.1.2,regular,nawabari,mategai,180,alpha,,,,3906,53.1,,,,3708,37.2,,,,wakaba,6,6,0,2,4,1281,,lact450,3,1,2,3,3,1120,,sputtery,2,2,0,5,2,760,,bold,4,4,0,5,2,745,,sharp,2,1,1,1,4,1141,,52gal,6,6,0,5,2,993,,sputtery,4,3,1,3,3,952,,splatcharger,5,5,0,4,2,622,
Drizzle Season 2022,2022-10-21T02:00:00+00:00,1.1.2,regular,nawabari,mahimahi,180,alpha,,,,3654,52.2,,,,3493,43.3,,,,wakaba,3,3,0,0,3,991,,sputtery,3,3,0,5,3,948,,bold,1,1,0,4,3,869,,bold,3,3,0,5,3,846,,lact450,4,4,0,5,3,1093,,sharp,5,3,2,2,2,1008,,bucketslosher,0,0,0,2,3,804,,splatcharger,7,6,1,2,0,588,
Drizzle Season 2022,2022-10-21T02:00:00+00:00,1.1.2,regular,nawabari,mategai,180,alpha,,,,3848,67.9,,,,3064,24.3,,,,wakaba,9,6,3,0,4,983,,lact450,4,4,0,6,4,1193,,sputtery,4,3,1,4,3,981,,bold,3,1,2,6,1,691,,sharp,6,3,3,1,3,1333,,explosher,2,2,0,4,1,668,,squiclean_a,6,6,0,4,1,592,,longblaster,6,5,1,5,1,471,
Drizzle Season 2022,2022-10-21T06:00:00+00:00,1.1.2,bankara_challenge,area,zatou,323,alpha,FALSE,S+ 20,,,,75,,,,,70,,,rapid,9,4,5,2,8,1865,,longblaster,17,13,4,7,5,1157,,kelvin525,14,10,4,9,6,1501,,variableroller,7,6,1,7,6,1533,,wakaba,13,9,4,10,6,1664,,wakaba,7,5,2,7,6,1464,,furo,5,4,1,9,5,1433,,l3reelgun,9,7,2,7,6,1644,
Drizzle Season 2022,2022-10-21T10:00:00+00:00,1.1.2,regular,nawabari,chozame,180,bravo,,,,3028,40.8,,,,3044,47.1,,,,rapid,0,0,0,4,1,490,,quadhopper_black,13,12,1,2,3,1062,,parashelter,1,1,0,2,2,766,,nzap85,1,1,0,4,1,710,,maneuver,4,2,2,1,2,801,,sharp,7,7,0,4,1,797,,hokusai,2,2,0,5,2,725,,bold,0,0,0,4,0,721,
Drizzle Season 2022,2022-10-21T10:00:00+00:00,1.1.2,bankara_open,area,gonzui,85,alpha,TRUE,S+ 34,,,,100,,,,,0,,,quadhopper_black,7,6,1,2,1,469,,variableroller,1,0,1,0,2,628,,barrelspinner,1,0,1,1,1,406,,52gal,3,3,0,1,1,377,,screwslosher,3,2,1,3,2,487,,h3reelgun,1,0,1,3,3,655,,barrelspinner,2,1,1,1,2,446,,hydra,1,1,0,2,0,400,
Drizzle Season 2022,2022-10-21T10:00:00+00:00,1.1.2,regular,nawabari,chozame,180,alpha,,,,3418,58.9,,,,2854,31.8,,,,wakaba,7,7,0,0,2,945,,wakaba,5,1,4,0,1,987,,96gal,4,3,1,3,2,886,,nova,8,7,1,2,1,600,,wakaba,0,0,0,7,2,776,,tristringer,3,3,0,3,2,769,,jimuwiper,2,1,1,5,1,682,,lact450,1,1,0,5,1,627,
Drizzle Season 2022,2022-10-21T10:00:00+00:00,1.1.2,regular,nawabari,chozame,180,bravo,,,,2760,35.6,,,,3128,47.5,,,,splatspinner,3,2,1,3,3,892,,screwslosher,8,5,3,6,2,880,,splatroller,3,3,0,5,1,719,,nova,3,3,0,5,0,269,,heroshooter_replica,8,8,0,3,2,890,,sshooter,3,3,0,4,2,839,,dualsweeper,6,3,3,4,2,765,,longblaster,7,5,2,2,2,634,
Drizzle Season 2022,2022-10-21T10:00:00+00:00,1.1.2,regular,nawabari,namero,180,alpha,,,,3140,46.2,,,,3288,45.1,,,,splatspinner,6,2,4,3,3,732,,wakaba,4,2,2,3,3,983,,tristringer,5,5,0,2,3,747,,bucketslosher,7,4,3,5,2,678,,lact450,4,2,2,1,5,1353,,52gal,3,2,1,4,2,830,,liter4k_scope,6,5,1,2,2,636,,bottlegeyser,6,4,2,6,1,469,
