# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_challenge,area,mahimahi,90,alpha,TRUE,,,,,100,,,,,0,,,lact450,6,4,2,0,1,326,,maneuver,5,3,2,0,2,569,,liter4k,5,5,0,0,1,282,,bucketslosher,5,3,2,3,0,208,,sshooter,2,2,0,3,1,412,,splatroller,2,1,1,4,1,340,,prime,0,0,0,3,1,347,,hotblaster,0,0,0,5,0,179,
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_challenge,area,namero,235,alpha,TRUE,,,,,100,,,,,0,,,lact450,8,8,0,5,4,1133,,hotblaster,10,8,2,7,2,662,,maneuver,5,4,1,3,4,1403,,liter4k,10,6,4,0,3,875,,wakaba,9,5,4,7,5,1217,,wakaba,4,3,1,5,5,1207,,splatscope,7,6,1,6,3,769,,hydra,1,1,0,8,3,834,
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_challenge,area,mahimahi,167,bravo,TRUE,,,,,0,,,,,100,,,lact450,4,3,1,6,2,708,,clashblaster,8,8,0,6,3,565,,maneuver,2,2,0,6,3,790,,liter4k,2,2,0,5,1,331,,explosher,10,9,1,2,3,889,,wakaba,6,2,4,4,4,877,,squiclean_a,9,9,0,7,0,297,,screwslosher,5,2,3,2,2,603,
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_challenge,area,namero,288,bravo,TRUE,,,,,0,,,,,100,,,lact450,6,4,2,10,3,1041,,maneuver,10,10,0,6,7,1643,,liter4k,9,8,1,4,4,979,,pablo,6,4,2,6,9,1575,,screwslosher,13,7,6,5,6,1400,,splatspinner,10,7,3,6,6,1118,,sharp,10,9,1,8,5,1404,,nzap85,5,3,2,8,4,1203,
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_challenge,area,namero,72,bravo,TRUE,,,,,0,,,,,100,,,lact450,1,1,0,3,2,449,,screwslosher,1,1,0,3,1,356,,maneuver,1,1,0,4,0,160,,liter4k,0,0,0,2,1,285,,screwslosher,7,6,1,1,1,383,,liter4k,4,3,1,0,1,290,,variableroller,3,2,1,2,1,337,,kugelschreiber,2,1,1,0,1,325,
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_challenge,area,namero,220,bravo,TRUE,,,,,0,,,,,100,,,lact450,5,3,2,6,5,938,,sshooter,8,6,2,8,4,949,,prime,5,5,0,6,3,908,,prime,4,2,2,10,1,587,,screwslosher,12,6,6,2,5,1074,,screwslosher,12,9,3,5,3,1001,,hotblaster,11,9,2,3,3,657,,liter4k,9,6,3,6,2,613,
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_open,hoko,mategai,310,alpha,FALSE,,,,,79,,,,,48,,,nautilus47,13,7,6,9,2,1093,,splatscope,12,11,1,5,3,1001,,wakaba,5,3,2,5,5,1561,,splatroller,14,10,4,7,3,946,,drivewiper,10,7,3,10,2,1130,,liter4k,8,8,0,4,5,1127,,wakaba,8,5,3,11,1,1270,,kelvin525,6,6,0,6,4,1131,
Drizzle Season 2022,2022-10-05T00:00:00+00:00,1.1.2,bankara_open,hoko,kinmedai,91,alpha,TRUE,,,,,100,,,,,0,,,nautilus47,10,4,6,2,1,295,,splatroller,14,13,1,2,2,568,,wakaba,3,1,2,2,1,576,,splatscope,6,4,2,1,1,358,,wakaba,4,2,2,4,2,575,,hotblaster,2,2,0,6,0,290,,sharp,1,1,0,6,0,216,,splatroller,2,2,0,6,0,233,
Drizzle Season 2022,2022-10-05T06:00:00+00:00,1.1.2,bankara_challenge,area,namero,165,bravo,TRUE,,,,,0,,,,,100,,,sharp,5,4,1,7,2,545,,liter4k,6,4,2,3,2,503,,tristringer,6,4,2,4,3,729,,wakaba,4,3,1,9,1,672,,quadhopper_black,9,6,3,5,2,673,,sshooter,8,7,1,4,2,605,,screwslosher,7,5,2,3,2,749,,bottlegeyser,6,5,1,3,2,558,
Drizzle Season 2022,2022-10-05T06:00:00+00:00,1.1.2,bankara_challenge,area,mategai,311,alpha,FALSE,,,,,69,,,,,68,,,sharp,15,9,6,8,5,1281,,dualsweeper,17,8,9,9,5,1409,,splatscope,14,14,0,7,1,1082,,kelvin525,11,9,2,14,2,954,,screwslosher,16,13,3,10,4,1310,,sputtery,15,9,6,12,4,1224,,sharp,10,6,4,9,3,1142,,splatcharger,10,10,0,9,2,814,
Drizzle Season 2022,2022-10-05T06:00:00+00:00,1.1.2,bankara_challenge,area,namero,192,alpha,TRUE,,,,,100,,,,,0,,,sharp,8,6,2,3,3,882,,hissen,12,8,4,6,2,609,,dualsweeper,8,3,5,3,4,976,,sshooter,11,8,3,2,3,970,,bucketslosher,6,3,3,6,3,808,,variableroller,6,5,1,6,4,1048,,furo,6,4,2,8,3,972,,liter4k_scope,4,2,2,5,3,688,
Drizzle Season 2022,2022-10-05T06:00:00+00:00,1.1.2,bankara_challenge,area,mategai,172,bravo,TRUE,,,,,0,,,,,100,,,sshooter,6,5,1,5,3,862,,liter4k,7,5,2,3,2,633,,hydra,3,2,1,6,1,519,,52gal,5,4,1,7,3,615,,variableroller,11,10,1,4,5,1195,,52gal,6,4,2,3,2,649,,variableroller,2,2,0,4,3,813,,liter4k,5,5,0,5,0,448,
Drizzle Season 2022,2022-10-05T06:00:00+00:00,1.1.2,bankara_challenge,area,mategai,300,alpha,FALSE,,,,,78,,,,,74,,,sshooter,5,4,1,12,3,991,,sshooter,10,9,1,6,3,1233,,explosher,10,9,1,7,3,1359,,lact450,7,4,3,8,6,1521,,52gal,14,14,0,8,4,1282,,bottlegeyser,12,8,4,7,4,993,,sharp,7,6,1,5,5,1427,,hydra,6,5,1,6,3,870,
Drizzle Season 2022,2022-10-05T06:00:00+00:00,1.1.2,bankara_challenge,area,namero,140,alpha,TRUE,,,,,100,,,,,0,,,sharp,3,2,1,4,2,534,,bottlegeyser,8,8,0,3,2,518,,explosher,6,3,3,2,2,733,,sharp,6,3,3,1,3,777,,sharp,6,3,3,3,2,636,,wakaba,2,1,1,3,4,832,,screwslosher,6,5,1,4,2,666,,52gal,1,1,0,6,2,693,
Drizzle Season 2022,2022-10-05T06:00:00+00:00,1.1.2,bankara_challenge,area,mategai,82,bravo,TRUE,,,,,0,,,,,100,,,sharp,1,1,0,4,1,325,,lact450,1,1,0,1,3,821,,bottlegeyser,0,0,0,3,1,325,,liter4k,0,0,0,4,0,175,,sharp,8,7,1,0,1,471,,variableroller,5,3,2,0,2,586,,soytuber,3,2,1,0,1,378,,variableroller,2,0,2,2,1,350,
