# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-24T04:00:00+00:00,1.1.2,bankara_challenge,area,kinmedai,228,alpha,TRUE,S+ 0,,,,100,,,,,0,,,pablo,11,7,4,6,5,1131,,prime,13,11,2,6,3,889,,splatspinner,10,8,2,8,5,1010,,wakaba,6,3,3,9,4,1109,,nautilus47,16,14,2,5,4,1165,,dynamo,8,4,4,9,3,1024,,52gal,6,6,0,7,4,1078,,screwslosher,8,5,3,8,1,876,
Drizzle Season 2022,2022-10-24T04:00:00+00:00,1.1.2,bankara_challenge,area,kinmedai,117,bravo,TRUE,S+ 0,,,,0,,,,,100,,,pablo,2,2,0,4,2,487,,nautilus47,4,3,1,4,2,589,,furo,2,1,1,1,3,793,,wakaba,3,2,1,4,0,612,,hissen,6,3,3,1,2,566,,quadhopper_black,5,4,1,2,2,593,,variableroller,5,4,1,1,3,776,,heroshooter_replica,4,2,2,4,1,562,
Drizzle Season 2022,2022-10-24T04:00:00+00:00,1.1.2,bankara_challenge,area,zatou,268,bravo,TRUE,S+ 0,,,,0,,,,,100,,,pablo,4,4,0,13,1,714,,screwslosher,3,2,1,8,5,1368,,sshooter,5,5,0,10,4,1077,,furo,5,2,3,7,6,1220,,liter4k_scope,19,16,3,1,6,1406,,longblaster,14,8,6,5,3,725,,bold,11,8,3,6,3,1077,,lact450,8,6,2,1,7,1770,
Drizzle Season 2022,2022-10-24T08:00:00+00:00,1.1.2,bankara_challenge,yagura,amabi,120,alpha,TRUE,S+ 18,,,,100,,,,,0,,,longblaster,8,6,2,1,3,436,,longblaster,13,9,4,1,2,479,,furo,7,3,4,2,3,714,,tristringer,6,2,4,2,2,299,,longblaster,3,2,1,4,0,230,,sshooter,2,1,1,4,2,589,,splatroller,2,2,0,6,0,339,,quadhopper_black,1,1,0,6,0,371,
Drizzle Season 2022,2022-10-24T08:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,306,alpha,FALSE,S+ 18,,,,80,,,,,32,,,longblaster,17,9,8,3,6,1156,,longblaster,18,17,1,11,2,877,,furo,8,4,4,6,6,1677,,tristringer,16,11,5,5,5,939,,screwslosher,13,9,4,10,3,1141,,variableroller,6,5,1,10,6,1496,,dynamo,7,7,0,12,4,1219,,squiclean_a,4,4,0,9,2,913,
Drizzle Season 2022,2022-10-24T08:00:00+00:00,1.1.2,bankara_open,hoko,gonzui,322,alpha,FALSE,S+ 6,,,,97,,,,,58,,,tristringer,9,3,6,6,4,948,,kelvin525,14,11,3,13,3,1021,,dualsweeper,12,7,5,9,6,1417,,dualsweeper,7,6,1,9,4,1104,,splatroller,8,6,2,10,0,1284,,jimuwiper,18,16,2,5,1,984,,tristringer,11,7,4,6,2,1096,,barrelspinner,13,8,5,6,4,1254,
Drizzle Season 2022,2022-10-24T08:00:00+00:00,1.1.2,bankara_challenge,yagura,amabi,281,alpha,TRUE,S+ 18,,,,100,,,,,0,,,longblaster,23,18,5,3,5,911,,variableroller,13,9,4,8,6,1593,,drivewiper,15,9,6,5,4,834,,variableroller,7,5,2,9,5,1308,,52gal,11,9,2,11,4,1037,,tristringer,6,2,4,5,4,1038,,sshooter,6,5,1,11,1,1168,,splatroller,9,9,0,14,1,640,
Drizzle Season 2022,2022-10-24T08:00:00+00:00,1.1.2,bankara_open,hoko,kinmedai,300,bravo,FALSE,S+ 6,,,,38,,,,,92,,,tristringer,11,7,4,7,4,1227,,kelvin525,12,9,3,11,3,978,,clashblaster,9,6,3,10,3,774,,dualsweeper,5,3,2,9,4,1075,,52gal,12,12,0,6,2,1297,,52gal,12,10,2,8,2,1216,,hydra,9,7,2,5,5,1223,,squiclean_a,5,5,0,6,1,694,
Drizzle Season 2022,2022-10-24T08:00:00+00:00,1.1.2,bankara_challenge,yagura,amabi,302,bravo,FALSE,S+ 18,,,,53,,,,,89,,,longblaster,17,13,4,3,5,1043,,variableroller,9,7,2,7,6,1715,,screwslosher,6,3,3,7,5,1255,,liter4k,5,2,3,5,4,951,,rapid_elite,9,6,3,5,4,1132,,hydra,5,4,1,5,3,1149,,splatroller,9,9,0,6,5,1050,,jimuwiper,6,3,3,9,2,950,
Drizzle Season 2022,2022-10-24T08:00:00+00:00,1.1.2,bankara_open,hoko,kinmedai,300,alpha,FALSE,S+ 6,,,,58,,,,,41,,,tristringer,14,5,9,6,4,1262,,screwslosher,16,11,5,10,1,1053,,wakaba,14,13,1,8,4,1218,,hotblaster,11,9,2,8,2,867,,sharp,26,24,2,7,5,1775,,screwslosher,8,1,7,10,4,969,,furo,3,1,2,12,3,1279,,nzap85,7,6,1,9,0,769,
