# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,namero,300,bravo,FALSE,S+ 15,,,,41,,,,,42,,,52gal,11,10,1,9,4,886,,dualsweeper,16,11,5,3,5,1365,,splatroller,11,7,4,12,3,794,,heroshooter_replica,6,4,2,9,4,1084,,splatroller,17,17,0,10,1,926,,explosher,5,2,3,7,3,1467,,splatscope,10,9,1,6,1,1114,,sshooter,6,5,1,10,1,805,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,namero,204,alpha,TRUE,S+ 15,,,,100,,,,,0,,,52gal,15,13,2,6,3,770,,dualsweeper,14,5,9,3,3,854,,clashblaster,9,8,1,5,2,699,,wakaba,8,4,4,4,3,983,,sharp,8,6,2,9,2,885,,wakaba,7,7,0,7,1,941,,liter4k_scope,1,0,1,7,1,393,,sshooter,5,5,0,7,1,696,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,zatou,300,bravo,FALSE,S+ 15,,,,48,,,,,74,,,bucketslosher,15,7,8,5,4,1422,,explosher,13,9,4,4,5,1815,,52gal,6,4,2,12,0,662,,52gal,9,7,2,11,4,1029,,dualsweeper,14,9,5,6,4,1088,,furo,11,8,3,5,4,1643,,barrelspinner,9,7,2,5,4,1178,,sputtery,9,7,2,11,2,919,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,namero,300,alpha,FALSE,S+ 15,,,,96,,,,,55,,,dualsweeper,18,13,5,7,3,1131,,variableroller,16,12,4,5,6,1486,,bold,8,4,4,10,3,1026,,kelvin525,11,8,3,9,4,974,,dualsweeper,15,9,6,9,4,1208,,wakaba,12,8,4,7,3,1183,,hydra,9,7,2,8,2,1146,,sshooter,8,7,1,13,0,874,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,namero,319,alpha,FALSE,S+ 15,,,,41,,,,,32,,,dualsweeper,12,4,8,6,2,1361,,sputtery,20,19,1,8,3,935,,liter4k,7,6,1,5,2,951,,jimuwiper,9,8,1,8,1,1181,,wakaba,11,9,2,9,5,1474,,52gal,6,4,2,11,4,1255,,tristringer,9,6,3,8,3,790,,hydra,9,8,1,9,4,1179,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,zatou,319,bravo,FALSE,S+ 15,,,,9,,,,,88,,,kugelschreiber,11,6,5,8,2,1140,,maneuver,13,9,4,11,2,1128,,squiclean_a,10,7,3,6,3,932,,furo,8,4,4,12,4,1257,,sharp,14,9,5,7,3,1035,,nova,12,12,0,7,0,960,,52gal,11,9,2,7,3,1343,,variableroller,8,7,1,5,4,1560,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,namero,312,bravo,FALSE,S+ 15,,,,40,,,,,64,,,52gal,13,13,0,8,3,1021,,wakaba,8,6,2,7,4,1416,,furo,8,4,4,9,3,1256,,dualsweeper,10,8,2,11,2,1167,,kelvin525,16,15,1,10,4,1145,,wakaba,8,4,4,6,4,1570,,hydra,5,5,0,5,3,1133,,splatroller,11,11,0,10,1,786,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,namero,300,alpha,FALSE,S+ 15,,,,95,,,,,56,,,bucketslosher,14,12,2,6,2,1285,,maneuver,12,7,5,11,2,1105,,sshooter,14,9,5,11,3,1029,,prime,11,9,2,8,1,897,,tristringer,14,9,5,3,6,1340,,52gal,16,13,3,10,2,891,,52gal,10,8,2,14,1,932,,sharp,10,5,5,11,0,990,
Drizzle Season 2022,2022-10-14T02:00:00+00:00,1.1.2,bankara_challenge,hoko,zatou,300,alpha,FALSE,S+ 15,,,,82,,,,,48,,,bucketslosher,11,8,3,6,2,1074,,promodeler_mg,13,7,6,4,3,1260,,sshooter,14,10,4,5,4,1252,,barrelspinner,11,8,3,2,5,1080,,tristringer,9,6,3,6,6,1248,,hydra,5,4,1,8,4,1126,,nzap85,8,5,3,12,2,959,,sharp,3,1,2,7,4,1086,
Drizzle Season 2022,2022-10-14T04:00:00+00:00,1.1.2,bankara_open,asari,yagara,316,bravo,FALSE,,,,,20,,,,,26,,,pablo,12,10,2,4,5,1061,,nautilus47,12,5,7,3,5,1380,,sshooter,14,10,4,11,1,1082,,kelvin525,11,9,2,7,3,1045,,sshooter,12,8,4,13,0,969,,sshooter,10,7,3,4,5,1479,,sputtery,5,4,1,10,2,844,,drivewiper,7,6,1,7,2,1254,
