# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,300,alpha,FALSE,,,,,73,,,,,53,,,kugelschreiber,13,10,3,4,4,1223,,furo,3,2,1,5,5,1619,,dualsweeper,8,7,1,4,5,1392,,bold,7,6,1,9,2,873,,tristringer,7,6,1,4,5,999,,splatscope,7,7,0,6,4,1197,,wakaba,6,5,1,7,8,1979,,bottlegeyser,5,4,1,8,3,1100,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,114,bravo,TRUE,,,,,0,,,,,100,,,kugelschreiber,1,1,0,3,1,483,,furo,2,2,0,5,1,616,,52gal,0,0,0,4,1,343,,wakaba,0,0,0,4,1,481,,liter4k,8,6,2,0,2,466,,screwslosher,6,3,3,1,2,666,,bottlegeyser,6,4,2,0,2,416,,hissen,4,3,1,2,2,525,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,masaba,88,bravo,TRUE,,,,,0,,,,,100,,,kugelschreiber,1,1,0,3,2,352,,nzap85,2,2,0,3,2,577,,rapid,1,1,0,3,1,317,,variableroller,1,1,0,4,2,440,,h3reelgun,9,3,6,0,2,498,,liter4k,4,2,2,0,1,363,,nzap85,5,4,1,1,1,437,,sputtery,5,4,1,4,0,283,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,masaba,132,alpha,TRUE,,,,,100,,,,,0,,,kugelschreiber,5,3,2,3,1,609,,sharp,7,4,3,3,2,627,,soytuber,4,4,0,1,3,794,,nzap85,3,2,1,1,3,707,,sshooter,4,3,1,3,2,701,,52gal,3,3,0,3,3,493,,variableroller,1,1,0,2,4,1052,,variableroller,1,1,0,5,1,427,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,286,bravo,TRUE,,,,,0,,,,,100,,,kugelschreiber,10,7,3,4,3,1295,,liter4k_scope,9,6,3,6,5,863,,wakaba,5,2,3,8,6,1494,,variableroller,5,3,2,6,6,1388,,sputtery,14,13,1,8,2,1065,,tristringer,9,5,4,2,4,1023,,52gal,7,3,4,4,5,1162,,wakaba,6,3,3,4,5,1526,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,121,bravo,TRUE,S,,,,0,,,,,100,,,liter4k,1,0,1,4,1,310,,variableroller,2,2,0,3,3,816,,screwslosher,2,2,0,4,3,662,,hydra,2,1,1,4,1,395,,furo,1,0,1,0,3,704,,dualsweeper,8,7,1,2,2,603,,screwslosher,7,5,2,1,2,557,,sputtery,4,3,1,2,2,457,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,173,alpha,TRUE,,,,,100,,,,,0,,,kugelschreiber,11,7,4,3,1,741,,quadhopper_black,12,12,0,1,2,782,,nzap85,10,6,4,2,4,1008,,splatroller,8,6,2,2,2,621,,sshooter,5,5,0,8,2,667,,sputtery,2,1,1,8,1,469,,explosher,1,1,0,8,2,809,,furo,1,1,0,7,3,889,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,193,bravo,TRUE,,,,,0,,,,,100,,,kugelschreiber,5,5,0,1,3,1017,,quadhopper_black,12,11,1,8,2,928,,nzap85,2,2,0,4,4,967,,splatroller,5,2,3,6,2,648,,wakaba,9,8,1,3,4,1128,,kugelschreiber,9,5,4,5,3,711,,liter4k_scope,3,2,1,4,2,671,,sharp,6,4,2,8,2,800,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,300,alpha,FALSE,,,,,91,,,,,59,,,kugelschreiber,11,9,2,3,4,1279,,wakaba,12,5,7,4,5,1560,,screwslosher,12,9,3,4,7,1676,,liter4k,10,8,2,7,3,870,,52gal,8,8,0,12,3,1191,,nzap85,5,5,0,10,4,1537,,bottlegeyser,4,3,1,9,6,1076,,splatscope,2,2,0,0,8,1511,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,masaba,159,bravo,TRUE,,,,,0,,,,,100,,,kugelschreiber,6,4,2,3,1,813,,52gal,4,3,1,3,3,824,,bottlegeyser,4,3,1,4,1,436,,campingshelter,0,0,0,5,1,523,,kelvin525,6,6,0,3,3,657,,sshooter,5,4,1,1,2,843,,sharp,5,5,0,3,4,1067,,jimuwiper,1,0,1,3,2,647,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,masaba,102,alpha,TRUE,S,,,,100,,,,,0,,,liter4k,3,2,1,0,1,336,,screwslosher,5,4,1,1,1,533,,sshooter,5,3,2,2,1,489,,screwslosher,4,2,2,2,1,370,,nzap85,2,2,0,3,1,403,,bucketslosher,2,1,1,4,1,378,,52gal,2,2,0,2,2,501,,sharp,0,0,0,2,2,587,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,masaba,182,bravo,TRUE,S,,,,0,,,,,100,,,liter4k,3,3,0,4,3,701,,screwslosher,6,6,0,5,2,878,,screwslosher,4,2,2,6,3,695,,sshooter,1,1,0,5,2,770,,52gal,13,10,3,5,3,855,,furo,9,5,4,3,3,964,,liter4k,5,2,3,1,2,579,,screwslosher,4,4,0,3,3,828,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,253,bravo,TRUE,,,,,0,,,,,100,,,kugelschreiber,9,6,3,4,3,1155,,wakaba,7,6,1,9,4,1197,,quadhopper_black,7,7,0,8,3,1098,,lact450,6,5,1,7,7,1575,,dualsweeper,14,7,7,4,5,1238,,furo,11,7,4,5,4,1310,,splatroller,12,10,2,8,3,805,,wakaba,5,4,1,7,6,1497,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,313,alpha,FALSE,S,,,,92,,,,,91,,,liter4k,9,6,3,5,5,1017,,52gal,18,15,3,7,5,1381,,clashblaster,8,5,3,2,4,878,,sharp,8,6,2,7,3,1249,,variableroller,11,11,0,5,10,2016,,tristringer,5,4,1,7,4,856,,heroshooter_replica,3,2,1,11,2,815,,squiclean_a,4,4,0,9,2,714,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,masaba,191,alpha,TRUE,,,,,100,,,,,0,,,kugelschreiber,5,5,0,2,3,813,,screwslosher,9,6,3,1,5,1325,,dualsweeper,8,6,2,1,4,1070,,bottlegeyser,5,2,3,3,2,502,,hydra,5,4,1,4,3,765,,sharp,3,2,1,5,3,927,,sharp,2,1,1,3,4,1015,,screwslosher,0,0,0,7,2,723,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,294,alpha,TRUE,S,,,,100,,,,,0,,,liter4k,12,9,3,6,3,1066,,52gal,16,16,0,8,3,1189,,splatroller,13,9,4,2,5,1117,,sharp,10,5,5,8,3,1039,,furo,10,6,4,9,5,1381,,nzap85,8,6,2,10,3,976,,furo,6,6,0,10,2,1213,,sshooter,7,6,1,10,2,828,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,yagara,159,alpha,TRUE,,,,,100,,,,,0,,,wakaba,4,2,2,2,3,883,,hokusai,10,9,1,2,0,706,,sshooter,9,7,2,4,3,679,,barrelspinner,1,0,1,1,3,752,,hydra,5,5,0,4,3,583,,liter4k_scope,3,2,1,3,3,811,,rapid,2,1,1,6,1,606,,sharp,1,1,0,5,2,630,
Drizzle Season 2022,2022-10-01T02:00:00+00:00,1.1.2,bankara_challenge,area,masaba,111,bravo,TRUE,,,,,0,,,,,100,,,kugelschreiber,2,1,1,3,1,532,,screwslosher,4,3,1,2,3,711,,bottlegeyser,1,1,0,4,1,286,,dualsweeper,1,1,0,2,1,495,,h3reelgun,7,2,5,1,2,450,,variableroller,3,3,0,0,4,812,,52gal,4,3,1,3,1,374,,tristringer,3,3,0,2,1,447,
