# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-09T00:00:00+00:00,1.1.2,bankara_challenge,area,gonzui,83,alpha,TRUE,,,,,100,,,,,0,,,hydra,4,4,0,2,0,202,,wakaba,6,4,2,0,1,390,,bold,6,4,2,0,1,546,,liter4k,5,3,2,0,1,219,,52gal,2,2,0,5,0,258,,sharp,0,0,0,4,1,381,,dualsweeper,0,0,0,3,1,343,,bucketslosher,0,0,0,3,1,332,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,320,alpha,FALSE,,,,,75,,,,,31,,,sharp,17,14,3,7,5,1487,,lact450,16,11,5,6,12,2132,,splatscope,13,10,3,7,4,954,,prime,12,11,1,12,2,783,,liter4k,15,12,3,8,3,1235,,heroshooter_replica,10,6,4,13,2,1313,,hydra,10,8,2,11,3,958,,hokusai,7,6,1,15,0,882,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,87,alpha,TRUE,,,,,100,,,,,0,,,sharp,8,3,5,0,2,590,,jimuwiper,8,7,1,2,1,327,,kelvin525,6,3,3,1,2,378,,longblaster,6,5,1,3,1,281,,heroshooter_replica,3,3,0,4,0,316,,explosher,1,0,1,4,1,440,,longblaster,2,1,1,5,0,246,,nova,2,2,0,5,0,272,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,109,alpha,TRUE,,,,,100,,,,,0,,,sharp,10,6,4,2,2,643,,longblaster,10,8,2,1,2,465,,jimuwiper,5,4,1,3,1,313,,kelvin525,3,2,1,3,2,360,,variableroller,5,5,0,3,2,766,,sharp,3,2,1,6,0,314,,splatscope,2,2,0,5,0,331,,kelvin525,0,0,0,6,0,226,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,amabi,316,alpha,FALSE,,,,,97,,,,,93,,,sharp,13,10,3,9,5,1519,,longblaster,18,10,8,10,2,857,,jimuwiper,15,11,4,7,4,1252,,kelvin525,16,12,4,11,5,1173,,maneuver,18,12,6,10,4,1463,,liter4k_scope,6,5,1,9,2,934,,wakaba,15,12,3,11,3,1242,,sharp,13,8,5,12,2,1257,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,158,alpha,TRUE,,,,,100,,,,,0,,,sharp,8,3,5,5,2,694,,longblaster,7,6,1,3,1,632,,kelvin525,7,4,3,5,3,514,,jimuwiper,4,4,0,3,2,642,,heroshooter_replica,9,7,2,5,1,681,,liter4k_scope,3,3,0,2,2,591,,jetsweeper,4,1,3,4,2,604,,sshooter,6,5,1,6,1,479,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,amabi,303,alpha,FALSE,,,,,79,,,,,39,,,sharp,25,20,5,7,2,1582,,prime,12,7,5,8,2,673,,dynamo,12,10,2,6,5,1194,,nova,11,8,3,7,3,688,,52gal,14,10,4,9,4,1184,,nova,14,11,3,13,0,979,,screwslosher,6,4,2,12,3,1130,,longblaster,5,3,2,11,1,716,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,304,bravo,FALSE,,,,,70,,,,,83,,,sharp,13,7,6,7,6,1326,,dynamo,8,8,0,11,4,1110,,squiclean_a,6,5,1,10,3,866,,nova,11,8,3,12,3,887,,sshooter,12,9,3,9,4,1221,,splatroller,15,13,2,9,3,928,,liter4k_scope,12,12,0,4,3,971,,hydra,8,6,2,6,4,1002,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,258,alpha,TRUE,,,,,100,,,,,0,,,sharp,14,11,3,8,1,801,,longblaster,21,13,8,4,5,1003,,lact450,12,9,3,3,9,1727,,liter4k,13,11,2,5,3,676,,longblaster,7,5,2,11,1,769,,sharp,5,5,0,11,1,698,,sshooter,5,5,0,10,2,1083,,nova,5,5,0,12,2,755,
Drizzle Season 2022,2022-10-09T02:00:00+00:00,1.1.2,bankara_challenge,yagura,yagara,256,alpha,TRUE,,,,,100,,,,,0,,,sharp,12,8,4,7,3,1206,,longblaster,18,13,5,3,2,1028,,liter4k,11,7,4,6,2,779,,lact450,7,3,4,3,8,1568,,variableroller,10,8,2,8,4,1257,,52gal,2,0,2,10,3,870,,screwslosher,9,7,2,6,5,1048,,sshooter,4,4,0,7,3,943,
