# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_challenge,hoko,yunohana,68,alpha,TRUE,,,,,100,,,,,0,,,splatcharger,4,2,2,0,0,276,,variableroller,9,6,3,1,1,360,,barrelspinner,3,2,1,1,2,410,,nzap85,3,3,0,3,0,208,,dualsweeper,3,2,1,3,0,264,,sshooter,2,2,0,3,0,276,,pablo,0,0,0,3,0,307,,hydra,1,1,0,4,0,49,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_open,area,mategai,241,alpha,TRUE,,,,,100,,,,,0,,,splatcharger,6,6,0,2,1,669,,maneuver,16,14,2,4,3,1216,,bold,10,9,1,5,4,1009,,jimuwiper,3,3,0,6,1,703,,furo,6,2,4,6,4,1193,,clashblaster,12,10,2,9,3,796,,campingshelter,1,0,1,8,2,758,,drivewiper,7,5,2,9,2,654,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,247,alpha,TRUE,,,,,100,,,,,0,,,splatcharger,7,5,2,5,2,713,,bold,13,9,4,6,5,1019,,jimuwiper,9,6,3,7,1,884,,maneuver,12,10,2,6,4,968,,splatroller,10,9,1,6,3,783,,sharp,8,6,2,8,2,1127,,quadhopper_black,5,3,2,8,3,920,,heroshooter_replica,7,6,1,8,2,698,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_challenge,hoko,yunohana,300,alpha,FALSE,,,,,75,,,,,19,,,nova,15,9,6,6,2,1089,,52gal,19,14,5,6,5,1529,,maneuver,17,13,4,5,4,1415,,liter4k,8,3,5,8,3,921,,lact450,12,8,4,6,7,1842,,sshooter,10,9,1,11,2,957,,sharp,5,3,2,15,0,693,,maneuver,7,5,2,8,3,1188,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,268,bravo,TRUE,,,,,0,,,,,100,,,splatcharger,9,8,1,3,3,965,,maneuver,22,19,3,5,5,1137,,bold,12,7,5,7,4,925,,jimuwiper,3,3,0,5,4,967,,sharp,11,10,1,8,2,1242,,52gal,7,5,2,7,4,791,,bold,3,3,0,11,2,845,,drivewiper,2,2,0,11,1,766,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_challenge,hoko,zatou,315,alpha,FALSE,,,,,96,,,,,93,,,nova,8,5,3,11,3,832,,maneuver,18,13,5,6,6,1447,,hissen,18,12,6,8,4,1030,,liter4k,14,9,5,7,3,1501,,dynamo,12,11,1,10,3,1477,,52gal,12,10,2,11,3,1240,,barrelspinner,9,5,4,5,4,1070,,sharp,9,6,3,13,0,988,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,96,alpha,TRUE,,,,,100,,,,,0,,,splatcharger,3,3,0,0,1,365,,maneuver,5,4,1,2,1,470,,bold,4,4,0,2,0,427,,jimuwiper,1,1,0,1,0,266,,furo,3,2,1,3,2,579,,longblaster,3,2,1,3,0,306,,nautilus47,1,1,0,4,0,217,,hydra,0,0,0,2,1,301,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_open,area,mategai,314,bravo,FALSE,,,,,56,,,,,96,,,splatcharger,7,6,1,6,4,1028,,maneuver,13,12,1,12,2,1184,,jimuwiper,3,2,1,8,2,1041,,bold,10,10,0,11,5,1180,,longblaster,20,12,8,8,2,958,,screwslosher,11,9,2,6,5,1458,,clashblaster,18,12,6,11,3,863,,hydra,7,4,3,5,3,1038,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_challenge,hoko,zatou,300,bravo,FALSE,,,,,45,,,,,82,,,nova,9,5,4,9,2,742,,hissen,12,8,4,10,2,926,,liter4k,11,5,6,9,1,1340,,maneuver,9,8,1,9,3,1285,,splatroller,15,12,3,5,4,1161,,longblaster,15,11,4,9,3,901,,jimuwiper,7,4,3,6,3,1251,,sshooter,13,10,3,6,5,1074,
Drizzle Season 2022,2022-10-03T04:00:00+00:00,1.1.2,bankara_open,area,sumeshi,90,alpha,TRUE,,,,,100,,,,,0,,,splatcharger,5,4,1,1,1,358,,bold,4,4,0,1,1,450,,maneuver,6,3,3,2,1,407,,jimuwiper,3,3,0,3,0,233,,dualsweeper,3,2,1,4,1,353,,maneuver,2,2,0,4,1,315,,furo,2,1,1,3,1,416,,bucketslosher,2,2,0,3,1,381,
