# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-11-04T02:00:00+00:00,1.2.1,bankara_challenge,yagura,gonzui,300,bravo,FALSE,S,,,,59,,,,,96,,,splatcharger,14,12,2,4,3,1010,,dualsweeper,12,3,9,8,4,952,,sharp,10,9,1,8,4,1155,,spygadget,12,5,7,11,2,895,,clashblaster,9,5,4,10,3,631,,hissen,14,13,1,9,3,885,,tristringer,13,5,8,1,6,1086,,sharp,11,8,3,9,3,1341,
Drizzle Season 2022,2022-11-04T02:00:00+00:00,1.2.1,bankara_open,hoko,chozame,300,alpha,FALSE,,,,,56,,,,,55,,,pablo,12,7,5,3,10,1967,,carbon,12,10,2,8,2,932,,dualsweeper,2,2,0,7,3,862,,drivewiper,11,8,3,7,5,1129,,furo,12,6,6,7,7,1800,,furo,11,7,4,8,4,1377,,soytuber,9,6,3,5,1,502,,wakaba,8,6,2,8,3,1110,
Drizzle Season 2022,2022-11-04T02:00:00+00:00,1.2.1,bankara_open,hoko,amabi,304,alpha,FALSE,,,,,88,,,,,22,,,pablo,15,13,2,2,6,2162,,sharp,16,11,5,6,2,1054,,52gal,15,13,2,5,4,1233,,52gal,6,4,2,9,1,954,,longblaster,9,2,7,11,3,1031,,sshooter,13,12,1,10,4,1159,,spygadget,9,4,5,11,4,1490,,wakaba,4,4,0,9,5,1391,
Drizzle Season 2022,2022-11-04T02:00:00+00:00,1.2.1,bankara_open,hoko,chozame,308,alpha,FALSE,,,,,61,,,,,21,,,pablo,17,14,3,3,8,2013,,hydra,10,8,2,3,5,1012,,explosher,13,9,4,7,3,1272,,splatroller,5,4,1,7,1,612,,sshooter,7,6,1,7,4,1669,,nzap85,10,7,3,11,5,1395,,tristringer,9,3,6,6,5,802,,clashblaster,4,3,1,11,0,498,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,yunohana,215,alpha,TRUE,S,,,,100,,,,,0,,,splatcharger,6,6,0,3,0,638,,nzap85,9,5,4,1,4,1052,,furo,6,4,2,4,3,864,,sshooter,5,4,1,6,1,721,,variableroller,5,3,2,2,7,1510,,clashblaster,5,4,1,7,1,653,,splatcharger,4,4,0,4,2,637,,clashblaster,3,3,0,7,2,586,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,mahimahi,165,alpha,TRUE,S,,,,100,,,,,0,,,splatcharger,5,5,0,4,0,435,,hotblaster,9,8,1,3,1,502,,furo,9,6,3,3,2,615,,96gal,7,6,1,3,0,926,,furo,3,3,0,6,3,771,,dualsweeper,6,6,0,5,2,711,,bottlegeyser,5,4,1,5,1,441,,bold,1,0,1,9,0,423,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,yunohana,240,bravo,TRUE,S,,,,0,,,,,100,,,splatcharger,4,4,0,6,2,739,,furo,6,4,2,6,4,1166,,hotblaster,6,6,0,8,3,692,,maneuver,3,2,1,7,2,780,,sharp,11,10,1,7,2,700,,sharp,9,8,1,4,1,827,,barrelspinner,8,7,1,4,4,908,,liter4k,5,2,3,1,4,740,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,yunohana,99,alpha,TRUE,S,,,,100,,,,,0,,,splatcharger,1,1,0,1,1,319,,furo,4,4,0,1,2,599,,longblaster,4,2,2,0,1,366,,maneuver,4,3,1,2,1,415,,furo,2,2,0,1,2,619,,promodeler_mg,1,1,0,2,2,361,,nzap85,1,0,1,4,0,330,,sshooter,1,1,0,3,0,327,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,yunohana,147,bravo,TRUE,S,,,,0,,,,,100,,,splatcharger,2,2,0,3,0,498,,maneuver,8,8,0,5,1,654,,furo,2,2,0,5,2,778,,longblaster,2,2,0,7,1,356,,hokusai,10,7,3,2,1,658,,furo,6,5,1,5,1,719,,screwslosher,5,5,0,4,1,606,,promodeler_mg,4,3,1,3,2,635,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,mahimahi,192,bravo,TRUE,S,,,,0,,,,,100,,,splatcharger,6,3,3,2,2,598,,maneuver,13,12,1,4,2,837,,longblaster,8,4,4,6,2,582,,furo,3,1,2,7,2,662,,furo,9,6,3,5,1,686,,screwslosher,7,5,2,5,3,810,,hokusai,6,4,2,7,1,702,,promodeler_mg,4,4,0,5,3,687,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,yunohana,322,alpha,FALSE,S,,,,93,,,,,92,,,liter4k,5,4,1,5,2,875,,maneuver,21,20,1,8,4,1423,,furo,14,7,7,8,4,1209,,hotblaster,10,7,3,9,2,658,,pablo,16,10,6,8,8,1436,,maneuver,14,13,1,10,3,1063,,variableroller,7,6,1,10,3,825,,drivewiper,1,1,0,10,4,975,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,yunohana,285,bravo,TRUE,S,,,,0,,,,,100,,,liter4k,6,3,3,4,3,899,,maneuver,15,15,0,8,3,1186,,furo,9,8,1,7,3,1155,,hotblaster,7,5,2,10,3,705,,screwslosher,16,14,2,5,5,1186,,sharp,9,5,4,7,3,1145,,parashelter,5,3,2,8,4,970,,rapid,10,7,3,11,2,689,
Drizzle Season 2022,2022-11-04T04:00:00+00:00,1.2.1,bankara_open,area,yunohana,298,alpha,TRUE,S,,,,100,,,,,0,,,liter4k,9,5,4,3,2,1011,,maneuver,18,18,0,7,5,1310,,hotblaster,9,5,4,9,3,731,,kugelschreiber,8,4,4,5,3,824,,jimuwiper,10,8,2,7,3,1285,,dynamo,6,4,2,7,6,1299,,hokusai,11,10,1,6,2,898,,splatroller,4,2,2,12,1,508,
