# season,period,game-ver,lobby,mode,stage,time,win,knockout,rank,x-power,our-inked,our-ink-percent,our-count,our-color,our-theme,their-inked,their-ink-percent,their-count,their-color,their-theme,A1-weapon,A1-kill-assist,A1-kill,A1-assist,A1-death,A1-special,A1-inked,A1-abilities,A2-weapon,A2-kill-assist,A2-kill,A2-assist,A2-death,A2-special,A2-inked,A2-abilities,A3-weapon,A3-kill-assist,A3-kill,A3-assist,A3-death,A3-special,A3-inked,A3-abilities,A4-weapon,A4-kill-assist,A4-kill,A4-assist,A4-death,A4-special,A4-inked,A4-abilities,B1-weapon,B1-kill-assist,B1-kill,B1-assist,B1-death,B1-special,B1-inked,B1-abilities,B2-weapon,B2-kill-assist,B2-kill,B2-assist,B2-death,B2-special,B2-inked,B2-abilities,B3-weapon,B3-kill-assist,B3-kill,B3-assist,B3-death,B3-special,B3-inked,B3-abilities,B4-weapon,B4-kill-assist,B4-kill,B4-assist,B4-death,B4-special,B4-inked,B4-abilities
Drizzle Season 2022,2022-10-12T00:00:00+00:00,1.1.2,bankara_open,area,namero,235,alpha,TRUE,S+ 1,,,,100,,,,,0,,,nzap85,13,11,2,6,4,1163,,dualsweeper,10,3,7,3,5,1137,,explosher,10,5,5,0,5,1254,,splatroller,9,7,2,4,1,552,,screwslosher,6,6,0,3,8,1494,,clashblaster,6,4,2,6,4,811,,prime,1,1,0,10,3,967,,sputtery,5,2,3,7,4,772,
Drizzle Season 2022,2022-10-12T00:00:00+00:00,1.1.2,bankara_open,area,namero,189,bravo,TRUE,S+ 1,,,,0,,,,,100,,,nzap85,7,6,1,6,3,820,,explosher,2,1,1,3,5,1271,,splatroller,5,4,1,4,3,551,,dualsweeper,1,0,1,8,3,819,,rapid_elite,13,10,3,3,3,732,,explosher,7,4,3,1,3,1051,,barrelspinner,7,4,3,1,4,939,,sharp,4,3,1,6,1,618,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_open,yagura,mategai,315,bravo,FALSE,S+ 1,,,,20,,,,,66,,,clashblaster,13,9,4,10,5,942,,liter4k,14,12,2,2,5,997,,barrelspinner,12,7,5,11,3,785,,nautilus47,9,4,5,5,5,1066,,wakaba,6,5,1,5,5,1117,,screwslosher,14,13,1,11,2,860,,screwslosher,10,7,3,6,5,1362,,screwslosher,3,3,0,10,3,745,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_challenge,asari,mahimahi,320,bravo,FALSE,S+ 19,,,,59,,,,,98,,,wakaba,6,5,1,10,3,1364,,hydra,10,6,4,6,4,1191,,splatroller,11,9,2,9,3,988,,splatcharger,10,9,1,10,2,849,,sshooter,17,15,2,10,6,1336,,tristringer,8,4,4,4,4,889,,tristringer,8,4,4,9,3,818,,sshooter,16,12,4,6,5,1512,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_challenge,asari,mahimahi,300,bravo,FALSE,S+ 19,,,,20,,,,,35,,,furo,10,6,4,8,4,1208,,sshooter,17,13,4,9,4,1130,,sshooter,14,10,4,5,6,1399,,prime,14,6,8,10,2,756,,quadhopper_black,15,14,1,10,3,1214,,wakaba,5,1,4,2,7,1517,,sputtery,10,6,4,13,0,640,,carbon,11,9,2,10,0,871,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_open,yagura,yagara,307,bravo,FALSE,S+ 1,,,,37,,,,,82,,,clashblaster,9,7,2,12,3,826,,wakaba,9,7,2,8,6,1567,,bottlegeyser,7,6,1,9,3,905,,dualsweeper,5,4,1,11,3,939,,sshooter,22,21,1,7,3,1470,,hydra,10,8,2,6,4,984,,hotblaster,8,7,1,9,3,823,,liter4k_scope,6,3,3,2,5,924,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_challenge,asari,amabi,301,alpha,FALSE,S+ 19,,,,58,,,,,40,,,furo,9,4,5,6,5,1412,,sshooter,14,11,3,5,6,1398,,sshooter,9,7,2,8,4,1012,,prime,11,8,3,7,3,900,,dualsweeper,7,4,3,8,4,1206,,splatroller,15,14,1,9,2,873,,hydra,7,4,3,4,4,1150,,prime,5,4,1,9,3,933,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_challenge,asari,mahimahi,320,bravo,FALSE,S+ 19,,,,53,,,,,68,,,furo,16,8,8,9,3,1403,,splatroller,9,7,2,12,3,1033,,splatroller,17,17,0,11,2,941,,liter4k,6,5,1,8,1,889,,kelvin525,19,13,6,10,3,1068,,screwslosher,9,7,2,7,6,1368,,52gal,17,14,3,11,3,1171,,52gal,7,5,2,9,3,743,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_open,yagura,yagara,90,alpha,TRUE,S+ 1,,,,100,,,,,0,,,clashblaster,11,9,2,0,2,356,,variableroller,1,0,1,1,2,389,,52gal,8,6,2,1,2,339,,splatscope,2,2,0,0,2,330,,hokusai,1,1,0,4,0,361,,screwslosher,1,1,0,4,0,310,,clashblaster,0,0,0,6,0,172,,nzap85,0,0,0,3,0,316,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_open,yagura,yagara,302,bravo,FALSE,S+ 1,,,,34,,,,,35,,,clashblaster,15,11,4,10,3,941,,variableroller,8,7,1,4,6,1504,,splatscope,8,8,0,4,4,921,,52gal,7,7,0,9,4,841,,parashelter,5,1,4,10,4,977,,sputtery,13,11,2,11,2,821,,dynamo,12,10,2,6,6,1599,,liter4k,8,5,3,6,4,756,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_challenge,asari,mahimahi,320,alpha,FALSE,S+ 19,,,,41,,,,,20,,,furo,12,4,8,5,4,1409,,pablo,13,10,3,10,3,1121,,barrelspinner,17,13,4,8,1,1138,,bucketslosher,13,8,5,6,4,1279,,hydra,17,15,2,8,1,1043,,sshooter,13,9,4,8,7,1455,,sharp,2,1,1,7,5,1446,,prime,6,4,2,13,1,874,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_open,yagura,mategai,282,alpha,TRUE,S+ 1,,,,100,,,,,0,,,clashblaster,17,10,7,5,4,938,,variableroller,15,14,1,5,5,1275,,screwslosher,13,8,5,10,2,881,,splatscope,6,6,0,3,4,686,,hydra,11,10,1,8,3,905,,52gal,5,5,0,9,3,913,,screwslosher,2,2,0,11,2,811,,carbon,6,6,0,10,1,674,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_challenge,asari,amabi,300,bravo,FALSE,S+ 19,,,,20,,,,,44,,,furo,6,4,2,7,4,1352,,sshooter,12,12,0,7,2,1164,,tristringer,8,4,4,4,3,814,,dualsweeper,6,5,1,10,1,952,,splatroller,13,12,1,6,2,1038,,screwslosher,8,4,4,8,0,975,,liter4k,8,8,0,4,3,1017,,sshooter,4,4,0,7,2,1187,
Drizzle Season 2022,2022-10-12T02:00:00+00:00,1.1.2,bankara_open,yagura,yagara,184,bravo,TRUE,S+ 1,,,,0,,,,,100,,,clashblaster,6,5,1,6,1,550,,variableroller,4,3,1,6,3,1046,,squiclean_a,0,0,0,7,0,389,,splatscope,1,1,0,5,1,530,,wakaba,13,9,4,2,3,990,,rapid_elite,6,6,0,2,3,592,,tristringer,5,4,1,3,4,760,,hydra,8,5,3,3,3,677,
