Username,Url,Datetime,Rule,Lobby,Stage,Win,X Power,Time,Game Version,Stats,A1 Main Weapon,A1 Sub Weapon,A1 Special Weapon,A1 Inked,A1 Kill & Assist,A1 Kill,A1 Assist,A1 Death,A1 Specials,A2 Main Weapon,A2 Sub Weapon,A2 Special Weapon,A2 Inked,A2 Kill & Assist,A2 Kill,A2 Assist,A2 Death,A2 Specials,A3 Main Weapon,A3 Sub Weapon,A3 Special Weapon,A3 Inked,A3 Kill & Assist,A3 Kill,A3 Assist,A3 Death,A3 Specials,A4 Main Weapon,A4 Sub Weapon,A4 Special Weapon,A4 Inked,A4 Kill & Assist,A4 Kill,A4 Assist,A4 Death,A4 Specials,B1 Main Weapon,B1 Sub Weapon,B1 Special Weapon,B1 Inked,B1 Kill & Assist,B1 Kill,B1 Assist,B1 Death,B1 Specials,B2 Main Weapon,B2 Sub Weapon,B2 Special Weapon,B2 Inked,B2 Kill & Assist,B2 Kill,B2 Assist,B2 Death,B2 Specials,B3 Main Weapon,B3 Sub Weapon,B3 Special Weapon,B3 Inked,B3 Kill & Assist,B3 Kill,B3 Assist,B3 Death,B3 Specials,B4 Main Weapon,B4 Sub Weapon,B4 Special Weapon,B4 Inked,B4 Kill & Assist,B4 Kill,B4 Assist,B4 Death,B4 Specials
dogwong,https://stat.ink/@dogwong/spl3/6d80fb3c-5a9e-4395-b8c7-a32920bc9c84,2022-12-06 02:39:26+09:00,area,xmatch,kusaya,bravo,1712.3,300,v2.0.0,allow,furo,sprinkler,amefurashi,2068,5,3,2,5,8,sshooter,kyubanbomb,ultrashot,1366,12,12,0,7,5,carbon_deco,quickbomb,ultrashot,714,8,8,0,12,2,tristringer,poisonmist,megaphone51,1269,5,4,1,3,7,momiji,torpedo,hopsonar,1305,15,5,10,7,5,kugelschreiber,tansanbomb,jetpack,1113,13,11,2,5,4,explosher,pointsensor,amefurashi,1876,9,4,5,3,6,parashelter,sprinkler,tripletornado,1248,9,7,2,12,4
kuromorin,https://stat.ink/@kuromorin/spl3/c25d51e5-a325-451b-a360-0ce1e327c525,2022-12-06 02:37:31+09:00,area,xmatch,chozame,bravo,1795.4,245,v2.0.0,deny,rapid,trap,tripletornado,965,12,7,5,6,3,prime_collabo,kyubanbomb,nicedama,1085,8,6,2,5,3,wakaba,splashbomb,greatbarrier,1150,5,3,2,4,2,wideroller,splashshield,kyuinki,1007,4,3,1,5,4,longblaster,kyubanbomb,hopsonar,819,10,7,3,2,4,promodeler_rg,sprinkler,nicedama,1618,6,6,0,5,7,prime_collabo,kyubanbomb,nicedama,815,3,2,1,6,2,jimuwiper,quickbomb,shokuwander,968,7,5,2,6,3
nicks,https://stat.ink/@nicks/spl3/0432a080-7546-4013-a16d-76c91f7adb06,2022-12-06 02:37:04+09:00,area,xmatch,chozame,alpha,1956.1,157,v2.0.0,deny,furo,sprinkler,amefurashi,631,2,2,0,3,2,96gal,sprinkler,kyuinki,801,9,6,3,4,1,heroshooter_replica,kyubanbomb,ultrashot,547,7,7,0,5,1,spygadget,trap,sameride,657,4,2,2,3,1,hokusai,kyubanbomb,shokuwander,783,8,8,0,4,1,explosher,pointsensor,amefurashi,859,2,1,1,3,2,dualsweeper,splashbomb,hopsonar,617,1,1,0,4,2,sshooter,kyubanbomb,ultrashot,461,5,5,0,6,1
arumican13,https://stat.ink/@arumican13/spl3/ea9a53ef-66a6-415c-b107-f8989ddf23c3,2022-12-06 02:33:40+09:00,area,xmatch,chozame,bravo,2229.1,276,v2.0.0,allow,screwslosher,tansanbomb,nicedama,797,3,3,0,10,3,barrelspinner,sprinkler,hopsonar,1086,9,5,4,6,5,sharp,quickbomb,kanitank,1309,8,6,2,6,4,nzap85,kyubanbomb,energystand,1368,7,3,4,7,6,wakaba,splashbomb,greatbarrier,1185,11,7,4,4,5,bucketslosher,splashbomb,tripletornado,1218,11,7,4,6,4,hydra,robotbomb,nicedama,1052,10,8,2,3,4,sharp,quickbomb,kanitank,1122,9,6,3,5,4
bernchan07,https://stat.ink/@bernchan07/spl3/85e60eef-8c95-4c6c-930e-6a2da321a9c0,2022-12-06 02:32:07+09:00,area,xmatch,kusaya,alpha,2374.5,218,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,1030,8,5,3,4,4,longblaster,kyubanbomb,hopsonar,812,13,9,4,5,3,liter4k,trap,hopsonar,738,12,10,2,2,3,wakaba,splashbomb,greatbarrier,1183,8,5,3,2,5,liter4k,trap,hopsonar,717,5,5,0,6,2,explosher,pointsensor,amefurashi,1296,2,1,1,7,5,quadhopper_black,robotbomb,sameride,811,5,5,0,9,2,sharp,quickbomb,kanitank,793,2,2,0,7,1
kuromorin,https://stat.ink/@kuromorin/spl3/ee4bfe20-6123-47f4-a6ed-2af6ebb85812,2022-12-06 02:31:47+09:00,area,xmatch,kusaya,bravo,1795.4,253,v2.0.0,deny,rapid,trap,tripletornado,1016,9,7,2,9,3,momiji,torpedo,hopsonar,1213,5,1,4,7,6,prime_collabo,kyubanbomb,nicedama,1238,8,6,2,7,4,sharp,quickbomb,kanitank,1153,5,5,0,8,6,prime_collabo,kyubanbomb,nicedama,1232,15,13,2,5,4,explosher,pointsensor,amefurashi,1257,8,4,4,5,4,sputtery_hue,torpedo,sameride,951,11,8,3,6,3,momiji,torpedo,hopsonar,1211,8,5,3,3,6
nicks,https://stat.ink/@nicks/spl3/921e25ee-64d2-4049-8fd4-4c5ed51110ec,2022-12-06 02:31:25+09:00,area,xmatch,chozame,bravo,1956.1,148,v2.0.0,deny,furo,sprinkler,amefurashi,601,4,3,1,2,3,52gal,splashshield,megaphone51,479,5,5,0,5,2,liter4k,trap,hopsonar,469,4,2,2,2,2,variableroller,trap,missile,677,4,3,1,4,2,liter4k,trap,hopsonar,405,7,6,1,2,2,variableroller,trap,missile,816,2,2,0,4,2,rapid_elite,poisonmist,kyuinki,517,2,0,2,2,2,bold,curlingbomb,ultrahanko,510,5,5,0,5,2
arumican13,https://stat.ink/@arumican13/spl3/48d1ea42-f2ff-477c-9b8a-4790d7054f91,2022-12-06 02:27:42+09:00,area,xmatch,chozame,bravo,2245.4,258,v2.0.0,allow,screwslosher,tansanbomb,nicedama,1232,7,4,3,5,5,splatroller,curlingbomb,greatbarrier,643,10,9,1,6,2,nzap85,kyubanbomb,energystand,1205,9,5,4,5,5,sputtery_hue,torpedo,sameride,904,7,4,3,8,3,momiji,torpedo,hopsonar,1530,13,5,8,3,7,carbon_deco,quickbomb,ultrashot,629,12,11,1,8,1,bucketslosher,splashbomb,tripletornado,1086,8,4,4,7,4,sshooter,kyubanbomb,ultrashot,1068,4,4,0,4,4
mad_p,https://stat.ink/@mad_p/spl3/cb06dbce-a67a-4007-a536-963d94464ecb,2022-12-06 02:26:19+09:00,area,xmatch,kusaya,bravo,,302,v2.0.0,allow,sharp,quickbomb,kanitank,1349,12,8,4,11,3,splatspinner_collabo,poisonmist,greatbarrier,1450,7,6,1,7,5,jimuwiper,quickbomb,shokuwander,1174,8,7,1,12,1,l3reelgun,curlingbomb,kanitank,1327,4,3,1,9,3,52gal,splashshield,megaphone51,1577,13,13,0,3,7,prime_collabo,kyubanbomb,nicedama,1468,13,10,3,6,5,jimuwiper,quickbomb,shokuwander,1222,11,8,3,8,3,sshooter,kyubanbomb,ultrashot,1243,10,8,2,7,5
kuromorin,https://stat.ink/@kuromorin/spl3/1c2dadf8-ff6e-4710-bfcf-a02ece9cd478,2022-12-06 02:25:29+09:00,area,xmatch,kusaya,alpha,1795.4,272,v2.0.0,deny,rapid,trap,tripletornado,1120,8,6,2,7,3,momiji,torpedo,hopsonar,1513,10,6,4,4,6,momiji,torpedo,hopsonar,1627,6,3,3,1,9,tristringer,poisonmist,megaphone51,1267,7,4,3,4,6,momiji,torpedo,hopsonar,1534,11,5,6,3,8,explosher,pointsensor,amefurashi,1656,7,2,5,5,6,tristringer,poisonmist,megaphone51,1187,3,2,1,4,7,sharp,quickbomb,kanitank,1188,8,7,1,7,4
