Username,Url,Datetime,Rule,Lobby,Stage,Win,X Power,Time,Game Version,Stats,A1 Main Weapon,A1 Sub Weapon,A1 Special Weapon,A1 Inked,A1 Kill & Assist,A1 Kill,A1 Assist,A1 Death,A1 Specials,A2 Main Weapon,A2 Sub Weapon,A2 Special Weapon,A2 Inked,A2 Kill & Assist,A2 Kill,A2 Assist,A2 Death,A2 Specials,A3 Main Weapon,A3 Sub Weapon,A3 Special Weapon,A3 Inked,A3 Kill & Assist,A3 Kill,A3 Assist,A3 Death,A3 Specials,A4 Main Weapon,A4 Sub Weapon,A4 Special Weapon,A4 Inked,A4 Kill & Assist,A4 Kill,A4 Assist,A4 Death,A4 Specials,B1 Main Weapon,B1 Sub Weapon,B1 Special Weapon,B1 Inked,B1 Kill & Assist,B1 Kill,B1 Assist,B1 Death,B1 Specials,B2 Main Weapon,B2 Sub Weapon,B2 Special Weapon,B2 Inked,B2 Kill & Assist,B2 Kill,B2 Assist,B2 Death,B2 Specials,B3 Main Weapon,B3 Sub Weapon,B3 Special Weapon,B3 Inked,B3 Kill & Assist,B3 Kill,B3 Assist,B3 Death,B3 Specials,B4 Main Weapon,B4 Sub Weapon,B4 Special Weapon,B4 Inked,B4 Kill & Assist,B4 Kill,B4 Assist,B4 Death,B4 Specials
wtshm,https://stat.ink/@wtshm/spl3/e8a5c75a-0e30-4894-b7eb-ba786bc9c06c,2022-12-07 23:59:57+09:00,area,xmatch,namero,bravo,1768.8,82,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,373,1,0,1,2,1,promodeler_rg,sprinkler,nicedama,773,1,1,0,3,3,h3reelgun,pointsensor,energystand,392,0,0,0,3,1,sharp,quickbomb,kanitank,339,0,0,0,3,1,momiji,torpedo,hopsonar,550,5,3,2,0,2,dualsweeper,splashbomb,hopsonar,421,4,4,0,0,2,tristringer,poisonmist,megaphone51,355,5,3,2,1,1,sharp,quickbomb,kanitank,439,3,1,2,0,1
Nyarukore,https://stat.ink/@Nyarukore/spl3/5614ab58-4016-40c9-84fb-2d93e36bae67,2022-12-07 23:59:14+09:00,area,xmatch,namero,bravo,1749.0,120,v2.0.0,allow,momiji,torpedo,hopsonar,634,5,4,1,2,3,sputtery_hue,torpedo,sameride,622,6,3,3,4,3,wakaba,splashbomb,greatbarrier,711,1,0,1,3,1,drivewiper,torpedo,ultrahanko,329,1,1,0,4,1,nzap85,kyubanbomb,energystand,563,6,3,3,2,2,wakaba,splashbomb,greatbarrier,650,4,4,0,2,2,pablo,splashbomb,megaphone51,578,6,5,1,3,2,sharp,quickbomb,kanitank,634,2,1,1,1,3
ore,https://stat.ink/@ore/spl3/c66c5674-9813-4a1f-9ba2-706cd98168c5,2022-12-07 23:58:47+09:00,area,xmatch,kusaya,alpha,2068.1,256,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,873,7,3,4,7,2,liter4k_scope,trap,hopsonar,754,16,14,2,4,2,screwslosher,tansanbomb,nicedama,1195,10,5,5,3,4,dualsweeper,splashbomb,hopsonar,1169,9,6,3,6,4,sharp,quickbomb,kanitank,1228,11,7,4,7,5,screwslosher,tansanbomb,nicedama,1140,7,5,2,7,4,prime_collabo,kyubanbomb,nicedama,1182,4,4,0,5,6,liter4k,trap,hopsonar,408,4,4,0,9,0
lentan,https://stat.ink/@lentan/spl3/f32fed07-bc17-4af5-9d81-9f1c7bdaf876,2022-12-07 23:57:40+09:00,area,xmatch,namero,bravo,2411.7,318,v2.0.0,allow,liter4k,trap,hopsonar,1546,2,1,1,3,7,wakaba,splashbomb,greatbarrier,1898,10,6,4,6,7,splatroller,curlingbomb,greatbarrier,1167,8,8,0,7,4,sshooter,kyubanbomb,ultrashot,1285,8,6,2,13,4,liter4k_scope,trap,hopsonar,1491,11,10,1,3,6,sharp,quickbomb,kanitank,1766,11,6,5,4,7,wakaba,splashbomb,greatbarrier,1895,7,6,1,5,6,drivewiper,torpedo,ultrahanko,1044,9,7,2,9,4
lin010151,https://stat.ink/@lin010151/spl3/86e17738-d5e0-40ad-b866-7d1b6a58990a,2022-12-07 23:56:50+09:00,area,xmatch,namero,alpha,2355.7,300,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,1323,18,15,3,8,5,sharp,quickbomb,kanitank,1685,10,7,3,4,7,sharp,quickbomb,kanitank,1336,8,4,4,6,6,dynamo,sprinkler,energystand,1366,8,3,5,7,3,wakaba,splashbomb,greatbarrier,1723,5,4,1,5,7,52gal,splashshield,megaphone51,1069,11,10,1,12,2,sharp,quickbomb,kanitank,1481,10,7,3,5,7,variableroller,trap,missile,1561,8,4,4,7,5
mira,https://stat.ink/@mira/spl3/7c87ceba-e450-4cde-a5dc-df204b1bb74a,2022-12-07 23:56:40+09:00,area,xmatch,kusaya,bravo,,151,v2.0.0,allow,bottlegeyser,splashshield,ultrashot,579,4,3,1,3,3,barrelspinner,sprinkler,hopsonar,471,7,2,5,6,1,carbon_deco,quickbomb,ultrashot,577,6,5,1,6,2,sshooter_collabo,splashbomb,tripletornado,627,5,4,1,5,2,splatroller,curlingbomb,greatbarrier,578,10,10,0,4,1,tristringer,poisonmist,megaphone51,803,4,1,3,2,3,kelvin525,splashshield,nicedama,486,5,4,1,4,1,sshooter,kyubanbomb,ultrashot,491,5,5,0,4,2
alweiz,https://stat.ink/@alweiz/spl3/c2aa96d4-85cf-4b2b-85fa-5927da3747c9,2022-12-07 23:55:43+09:00,area,xmatch,kusaya,bravo,1700.5,289,v2.0.0,allow,96gal,sprinkler,kyuinki,1088,8,5,3,11,1,momiji,torpedo,hopsonar,1340,8,5,3,9,6,tristringer,poisonmist,megaphone51,1205,5,4,1,5,6,liter4k,trap,hopsonar,897,4,2,2,3,5,tristringer,poisonmist,megaphone51,1162,12,5,7,3,4,liter4k,trap,hopsonar,1069,11,10,1,1,4,prime_collabo,kyubanbomb,nicedama,1257,9,6,3,6,3,wakaba,splashbomb,greatbarrier,1103,8,7,1,6,3
shige_tairi,https://stat.ink/@shige_tairi/spl3/dcc1c68e-2a82-4955-9690-e373195599d3,2022-12-07 23:54:44+09:00,area,xmatch,kusaya,bravo,1574.0,201,v2.0.0,allow,maneuver,kyubanbomb,kanitank,762,5,4,1,7,3,52gal,splashshield,megaphone51,844,6,6,0,7,2,longblaster,kyubanbomb,hopsonar,587,7,4,3,6,3,sharp,quickbomb,kanitank,939,5,3,2,3,3,explosher,pointsensor,amefurashi,1027,13,4,9,2,4,sharp,quickbomb,kanitank,908,11,7,4,3,3,heroshooter_replica,kyubanbomb,ultrashot,776,7,7,0,5,2,maneuver,kyubanbomb,kanitank,744,6,5,1,7,3
wtshm,https://stat.ink/@wtshm/spl3/f12b4a12-4296-4651-835e-6c5798518a6f,2022-12-07 23:54:18+09:00,area,xmatch,kusaya,alpha,1702.6,300,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,1436,8,2,6,4,6,sharp,quickbomb,kanitank,1465,12,12,0,6,5,explosher,pointsensor,amefurashi,1897,6,4,2,4,6,nova,splashbomb,shokuwander,729,10,10,0,12,1,screwslosher,tansanbomb,nicedama,1370,13,11,2,9,3,hydra,robotbomb,nicedama,1179,7,4,3,4,6,wakaba,splashbomb,greatbarrier,1447,4,3,1,9,5,rapid,trap,tripletornado,1282,11,8,3,6,6
suvichan,https://stat.ink/@suvichan/spl3/85d49afb-0237-4949-9e8a-3c1f70444efd,2022-12-07 23:53:53+09:00,area,xmatch,namero,bravo,2384.8,317,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1247,8,6,2,7,4,sharp,quickbomb,kanitank,1994,12,6,6,2,8,tristringer,poisonmist,megaphone51,1466,8,4,4,4,7,squiclean_a,pointsensor,greatbarrier,1302,12,10,2,6,5,barrelspinner,sprinkler,hopsonar,1329,10,7,3,12,6,rpen_5h,sprinkler,energystand,1727,6,4,2,2,8,prime,linemarker,kanitank,907,7,7,0,7,4,promodeler_rg,sprinkler,nicedama,2583,3,1,2,5,12
ore,https://stat.ink/@ore/spl3/73d03085-4ffd-445d-a715-9b0947fe4f98,2022-12-07 23:52:43+09:00,area,xmatch,kusaya,bravo,2068.1,318,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,1439,4,4,0,8,4,sshooter,kyubanbomb,ultrashot,1605,11,10,1,10,5,dualsweeper,splashbomb,hopsonar,1714,9,7,2,2,9,momiji,torpedo,hopsonar,1544,4,1,3,8,7,sshooter,kyubanbomb,ultrashot,1794,12,11,1,6,6,momiji,torpedo,hopsonar,1529,9,2,7,2,8,dualsweeper,splashbomb,hopsonar,1580,10,6,4,4,6,quadhopper_black,robotbomb,sameride,1325,11,9,2,10,4
3p3k1122,https://stat.ink/@3p3k1122/spl3/5ebf61e8-ba78-46cc-b9d3-8d3d61e97845,2022-12-07 23:52:15+09:00,area,xmatch,kusaya,alpha,1821.2,239,v2.0.0,allow,screwslosher,tansanbomb,nicedama,1110,12,7,5,3,2,bottlegeyser,splashshield,ultrashot,959,14,9,5,3,3,sshooter,kyubanbomb,ultrashot,1060,14,9,5,8,4,wakaba,splashbomb,greatbarrier,1342,7,6,1,3,5,prime_collabo,kyubanbomb,nicedama,958,8,5,3,8,3,bucketslosher,splashbomb,tripletornado,1188,7,5,2,6,5,momiji,torpedo,hopsonar,1229,5,2,3,6,5,heroshooter_replica,kyubanbomb,ultrashot,856,4,4,0,11,4
lentan,https://stat.ink/@lentan/spl3/f315a066-e00b-41e3-8eb6-e5bf02937cda,2022-12-07 23:51:10+09:00,area,xmatch,kusaya,bravo,2411.7,79,v2.0.0,allow,liter4k,trap,hopsonar,320,2,2,0,3,1,hokusai,kyubanbomb,shokuwander,338,2,1,1,3,0,wakaba,splashbomb,greatbarrier,489,0,0,0,3,2,momiji,torpedo,hopsonar,360,0,0,0,4,1,sshooter,kyubanbomb,ultrashot,459,8,5,3,0,1,pablo,splashbomb,megaphone51,407,6,5,1,1,1,momiji,torpedo,hopsonar,493,3,0,3,1,2,liter4k_scope,trap,hopsonar,297,4,3,1,1,1
shige_tairi,https://stat.ink/@shige_tairi/spl3/9fbcbe8b-c64f-4b8d-9b98-6e9c2446c0db,2022-12-07 23:50:18+09:00,area,xmatch,kusaya,bravo,1574.0,162,v2.0.0,allow,maneuver,kyubanbomb,kanitank,478,4,4,0,6,1,liter4k,trap,hopsonar,691,5,4,1,1,3,momiji,torpedo,hopsonar,1103,5,4,1,1,6,hydra,robotbomb,nicedama,774,2,1,1,3,3,liter4k,trap,hopsonar,548,6,6,0,4,1,nzap85,kyubanbomb,energystand,962,4,2,2,3,3,momiji,torpedo,hopsonar,977,3,2,1,3,3,barrelspinner,sprinkler,hopsonar,822,2,1,1,4,3
Nyarukore,https://stat.ink/@Nyarukore/spl3/bcd8072c-1dab-4280-bb52-b4ff1e54391a,2022-12-07 23:49:35+09:00,area,xmatch,kusaya,alpha,1749.0,151,v2.0.0,allow,momiji,torpedo,hopsonar,769,5,2,3,4,3,sshooter_collabo,splashbomb,tripletornado,818,9,7,2,4,3,splatroller,curlingbomb,greatbarrier,513,7,7,0,4,1,hydra,robotbomb,nicedama,465,5,4,1,4,1,wakaba,splashbomb,greatbarrier,729,6,4,2,5,2,hokusai,kyubanbomb,shokuwander,528,8,7,1,6,0,sshooter_collabo,splashbomb,tripletornado,465,6,4,2,6,0,tristringer,poisonmist,megaphone51,705,2,1,1,3,3
mira,https://stat.ink/@mira/spl3/2521985b-a658-41a2-a324-375a09e03e15,2022-12-07 23:49:04+09:00,area,xmatch,kusaya,alpha,,300,v2.0.0,allow,bottlegeyser,splashshield,ultrashot,1084,15,12,3,6,4,variableroller,trap,missile,1937,8,7,1,5,6,sharp,quickbomb,kanitank,1565,7,4,3,5,5,jimuwiper,quickbomb,shokuwander,1096,8,6,2,10,3,kelvin525,splashshield,nicedama,1470,11,11,0,6,7,splatspinner_collabo,poisonmist,greatbarrier,1626,9,4,5,8,5,momiji,torpedo,hopsonar,1615,9,6,3,4,7,bottlegeyser,splashshield,ultrashot,855,5,5,0,11,3
lentan,https://stat.ink/@lentan/spl3/99760d14-5d68-4e18-93ee-41f6dd00d33b,2022-12-07 23:48:34+09:00,area,xmatch,kusaya,bravo,2411.7,339,v2.0.0,allow,liter4k,trap,hopsonar,1377,8,4,4,4,5,sshooter,kyubanbomb,ultrashot,1691,20,15,5,7,6,sharp,quickbomb,kanitank,1915,10,6,4,6,6,splatspinner,quickbomb,ultrahanko,1972,2,1,1,11,10,liter4k,trap,hopsonar,1575,13,9,4,3,6,splatspinner_collabo,poisonmist,greatbarrier,1588,13,11,2,7,6,wakaba,splashbomb,greatbarrier,2108,4,4,0,8,6,sshooter_collabo,splashbomb,tripletornado,1446,7,4,3,8,7
ngxx_ga,https://stat.ink/@ngxx_ga/spl3/cbcb79b0-632e-4532-869a-dd0f807aef90,2022-12-07 23:47:40+09:00,area,xmatch,namero,alpha,1721.6,149,v2.0.0,allow,drivewiper,torpedo,ultrahanko,654,7,5,2,3,2,clashblaster,splashbomb,ultrashot,511,8,7,1,2,2,sshooter_collabo,splashbomb,tripletornado,845,3,3,0,1,4,sharp,quickbomb,kanitank,743,6,2,4,2,2,drivewiper,torpedo,ultrahanko,648,4,4,0,5,2,sharp,quickbomb,kanitank,836,2,2,0,3,3,momiji,torpedo,hopsonar,905,2,0,2,3,5,bucketslosher,splashbomb,tripletornado,533,2,2,0,6,2
suvichan,https://stat.ink/@suvichan/spl3/e7983621-b40a-44de-8950-64f8eb841c2e,2022-12-07 23:47:21+09:00,area,xmatch,namero,alpha,2384.8,179,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,735,5,1,4,2,3,quadhopper_black,robotbomb,sameride,838,10,6,4,3,2,sharp,quickbomb,kanitank,1129,3,2,1,0,4,wakaba,splashbomb,greatbarrier,941,8,6,2,3,4,sharp,quickbomb,kanitank,952,3,2,1,1,4,promodeler_rg,sprinkler,nicedama,1243,2,2,0,4,6,kelvin525,splashshield,nicedama,664,2,2,0,5,3,sharp,quickbomb,kanitank,972,2,2,0,5,4
nigaky,https://stat.ink/@nigaky/spl3/b5568bc0-afea-4207-8e12-03bc7a1c20e7,2022-12-07 23:46:53+09:00,area,xmatch,namero,bravo,2324.2,251,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,1585,2,1,1,6,4,liter4k,trap,hopsonar,1053,7,7,0,4,4,52gal,splashshield,megaphone51,819,3,2,1,7,3,squiclean_a,pointsensor,greatbarrier,1067,3,3,0,7,3,liter4k_scope,trap,hopsonar,996,11,11,0,4,3,barrelspinner,sprinkler,hopsonar,1339,9,6,3,2,5,momiji,torpedo,hopsonar,1081,9,2,7,2,5,bamboo14mk1,robotbomb,megaphone51,1004,8,5,3,5,4
lin010151,https://stat.ink/@lin010151/spl3/d86baaeb-5127-447e-8836-a98521e2c0f8,2022-12-07 23:46:00+09:00,area,xmatch,kusaya,bravo,2355.7,125,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,534,3,3,0,6,2,sshooter_collabo,splashbomb,tripletornado,530,6,5,1,6,1,hydra,robotbomb,nicedama,858,1,1,0,2,4,promodeler_rg,sprinkler,nicedama,1034,1,1,0,4,4,wakaba,splashbomb,greatbarrier,972,9,6,3,0,4,hydra,robotbomb,nicedama,608,7,5,2,2,2,sshooter_collabo,splashbomb,tripletornado,659,4,4,0,3,2,sshooter_collabo,splashbomb,tripletornado,483,4,3,1,5,1
Nyarukore,https://stat.ink/@Nyarukore/spl3/facfc3c3-48a5-4e3f-b554-12f88c0df085,2022-12-07 23:45:46+09:00,area,xmatch,namero,bravo,1749.0,115,v2.0.0,allow,momiji,torpedo,hopsonar,649,0,0,0,3,3,drivewiper,torpedo,ultrahanko,355,3,3,0,5,1,barrelspinner,sprinkler,hopsonar,663,1,1,0,2,2,furo,sprinkler,amefurashi,671,1,0,1,3,2,furo,sprinkler,amefurashi,753,5,3,2,0,2,momiji,torpedo,hopsonar,736,5,4,1,1,3,hydra,robotbomb,nicedama,433,5,4,1,2,1,drivewiper,torpedo,ultrahanko,478,2,2,0,1,0
gyara,https://stat.ink/@gyara/spl3/6193b899-8517-4d9a-8547-dbba4e78c2d7,2022-12-07 23:43:11+09:00,area,xmatch,kusaya,bravo,2027.7,284,v2.0.0,allow,sputtery_hue,torpedo,sameride,1175,9,9,0,11,4,carbon_deco,quickbomb,ultrashot,1135,13,9,4,9,4,splatspinner_collabo,poisonmist,greatbarrier,1400,7,4,3,6,3,sshooter,kyubanbomb,ultrashot,1103,7,5,2,11,2,sshooter_collabo,splashbomb,tripletornado,1442,14,11,3,4,5,sshooter,kyubanbomb,ultrashot,1442,11,7,4,6,6,carbon_deco,quickbomb,ultrashot,946,15,8,7,8,3,sputtery_hue,torpedo,sameride,1009,13,10,3,9,3
suvichan,https://stat.ink/@suvichan/spl3/fc0be392-8528-4d9b-a014-2541313b6511,2022-12-07 23:43:10+09:00,area,xmatch,namero,bravo,2384.8,272,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1030,9,3,6,7,4,sharp,quickbomb,kanitank,1596,7,6,1,4,6,sshooter,kyubanbomb,ultrashot,1308,11,10,1,9,4,jimuwiper,quickbomb,shokuwander,1382,7,5,2,5,3,sshooter_collabo,splashbomb,tripletornado,1389,13,11,2,9,6,splatspinner_collabo,poisonmist,greatbarrier,1489,5,2,3,5,6,sshooter,kyubanbomb,ultrashot,1453,8,7,1,5,7,jimuwiper,quickbomb,shokuwander,1335,6,5,1,5,2
3p3k1122,https://stat.ink/@3p3k1122/spl3/5988f50b-653c-4786-826b-f6b186f81a11,2022-12-07 23:42:36+09:00,area,xmatch,namero,alpha,1821.2,300,v2.0.0,allow,screwslosher,tansanbomb,nicedama,1373,12,8,4,6,3,explosher,pointsensor,amefurashi,1537,15,8,7,9,4,liter4k,trap,hopsonar,1185,11,10,1,4,4,dualsweeper,splashbomb,hopsonar,1180,10,7,3,10,3,nautilus47,pointsensor,amefurashi,1259,12,9,3,6,5,liter4k_scope,trap,hopsonar,1048,11,10,1,7,4,furo,sprinkler,amefurashi,1876,5,3,2,7,8,screwslosher,tansanbomb,nicedama,1015,7,7,0,13,1
chobizdao,https://stat.ink/@chobizdao/spl3/9235db78-1753-462a-8167-47a9721af3c2,2022-12-07 23:42:11+09:00,area,xmatch,namero,alpha,1820.7,328,v2.0.0,allow,sharp,quickbomb,kanitank,1657,11,10,1,7,5,wakaba,splashbomb,greatbarrier,1876,10,10,0,4,7,longblaster,kyubanbomb,hopsonar,1012,10,6,4,8,5,explosher,pointsensor,amefurashi,1777,5,2,3,9,5,furo,sprinkler,amefurashi,2025,5,4,1,4,8,longblaster,kyubanbomb,hopsonar,1011,14,10,4,10,3,wakaba,splashbomb,greatbarrier,1893,12,8,4,5,7,sharp,quickbomb,kanitank,1447,11,6,5,9,4
nigaky,https://stat.ink/@nigaky/spl3/a3fbae07-a953-4f79-aac1-57d4ac3c3221,2022-12-07 23:41:22+09:00,area,xmatch,kusaya,alpha,2272.1,300,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,1644,8,3,5,4,6,pablo,splashbomb,megaphone51,2026,12,12,0,5,8,liter4k,trap,hopsonar,800,4,4,0,6,2,sharp,quickbomb,kanitank,1641,7,6,1,6,6,kugelschreiber,tansanbomb,jetpack,1567,9,8,1,4,6,wakaba,splashbomb,greatbarrier,1865,6,4,2,7,7,liter4k_scope,trap,hopsonar,1109,7,5,2,7,6,pablo,splashbomb,megaphone51,1556,6,4,2,7,7
wtshm,https://stat.ink/@wtshm/spl3/c9f9bb15-6bd7-4514-98f9-5996613ae506,2022-12-07 23:39:50+09:00,area,xmatch,namero,alpha,1702.6,196,v2.0.0,allow,barrelspinner,sprinkler,hopsonar,778,8,2,6,4,3,momiji,torpedo,hopsonar,1203,11,8,3,1,6,pablo,splashbomb,megaphone51,781,10,7,3,4,3,52gal,splashshield,megaphone51,778,3,3,0,6,2,spygadget,trap,sameride,1054,7,6,1,7,4,barrelspinner,sprinkler,hopsonar,1038,6,1,5,4,5,sshooter,kyubanbomb,ultrashot,945,6,4,2,4,4,sputtery,jumpbeacon,energystand,555,4,4,0,5,3
ore,https://stat.ink/@ore/spl3/2c8ed2cb-f1ec-462b-a122-3d54041304f7,2022-12-07 23:39:27+09:00,area,xmatch,kusaya,bravo,2092.8,300,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,1264,12,10,2,6,4,kelvin525,splashshield,nicedama,1087,12,10,2,11,4,wakaba,splashbomb,greatbarrier,1256,8,3,5,8,5,liter4k_scope,trap,hopsonar,1022,6,4,2,5,4,liter4k,trap,hopsonar,866,11,7,4,5,4,sputtery_hue,torpedo,sameride,1355,8,6,2,7,4,quadhopper_black,robotbomb,sameride,1345,11,11,0,6,6,prime_collabo,kyubanbomb,nicedama,1166,8,6,2,9,4
obatyan789,https://stat.ink/@obatyan789/spl3/fb08d270-895e-44b6-b416-8cc0f1699448,2022-12-07 23:39:19+09:00,area,xmatch,namero,bravo,2075.7,300,v2.0.0,allow,momiji,torpedo,hopsonar,1543,5,2,3,6,7,sputtery_hue,torpedo,sameride,1603,16,15,1,9,6,sshooter_collabo,splashbomb,tripletornado,1384,6,5,1,11,5,prime_collabo,kyubanbomb,nicedama,1170,6,4,2,6,4,momiji,torpedo,hopsonar,1282,17,9,8,6,6,wakaba,splashbomb,greatbarrier,1708,12,7,5,6,6,maneuver,kyubanbomb,kanitank,1326,12,9,3,8,5,prime_collabo,kyubanbomb,nicedama,1358,11,7,4,6,5
kaoru5884,https://stat.ink/@kaoru5884/spl3/fd52511c-d742-4867-944c-c96c032b7435,2022-12-07 23:39:10+09:00,area,xmatch,kusaya,alpha,2030.3,163,v2.0.0,allow,furo,sprinkler,amefurashi,829,5,4,1,0,3,momiji,torpedo,hopsonar,949,9,3,6,2,4,splatroller,curlingbomb,greatbarrier,553,9,7,2,4,1,jimuwiper,quickbomb,shokuwander,839,8,7,1,1,2,carbon_deco,quickbomb,ultrashot,438,4,3,1,7,2,furo,sprinkler,amefurashi,1292,3,2,1,3,4,jimuwiper,quickbomb,shokuwander,845,3,2,1,5,4,sharp,quickbomb,kanitank,678,0,0,0,6,2
lin010151,https://stat.ink/@lin010151/spl3/e7267496-c407-405e-9bcc-15183e6b9988,2022-12-07 23:38:21+09:00,area,xmatch,kusaya,bravo,2386.9,324,v2.0.0,allow,sshooter_collabo,splashbomb,tripletornado,1808,9,8,1,7,6,quadhopper_black,robotbomb,sameride,1322,14,12,2,10,3,screwslosher,tansanbomb,nicedama,1616,8,4,4,7,6,liter4k,trap,hopsonar,1082,8,6,2,5,5,screwslosher,tansanbomb,nicedama,1495,16,13,3,9,5,liter4k_scope,trap,hopsonar,1289,7,3,4,2,6,heroshooter_replica,kyubanbomb,ultrashot,1574,11,9,2,13,2,momiji,torpedo,hopsonar,1550,10,4,6,7,8
suvichan,https://stat.ink/@suvichan/spl3/2a8877c9-c550-4ac5-aaf3-d837ac03c59c,2022-12-07 23:37:13+09:00,area,xmatch,namero,alpha,2374.8,291,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1168,6,2,4,5,4,momiji,torpedo,hopsonar,1607,15,8,7,2,8,sharp,quickbomb,kanitank,1491,14,10,4,5,6,sshooter,kyubanbomb,ultrashot,1424,11,6,5,5,7,sharp,quickbomb,kanitank,1516,9,4,5,7,6,sshooter,kyubanbomb,ultrashot,1315,6,5,1,7,5,sharp,quickbomb,kanitank,1571,4,3,1,4,6,splatspinner_collabo,poisonmist,greatbarrier,1230,6,5,1,8,5
3p3k1122,https://stat.ink/@3p3k1122/spl3/4f65c21d-f1e8-4d2f-a01f-1caef23d16f7,2022-12-07 23:36:19+09:00,area,xmatch,namero,bravo,1821.2,139,v2.0.0,allow,screwslosher,tansanbomb,nicedama,826,5,3,2,2,2,momiji,torpedo,hopsonar,676,8,2,6,5,3,heroshooter_replica,kyubanbomb,ultrashot,627,5,5,0,3,3,kelvin525,splashshield,nicedama,482,2,1,1,2,3,wakaba,splashbomb,greatbarrier,811,6,6,0,2,3,sshooter_collabo,splashbomb,tripletornado,697,5,1,4,3,2,screwslosher,tansanbomb,nicedama,569,4,4,0,3,2,spaceshooter,pointsensor,megaphone51,641,4,1,3,3,2
shige_tairi,https://stat.ink/@shige_tairi/spl3/4e87b652-fb48-4581-9080-715e3919f0db,2022-12-07 23:35:42+09:00,area,xmatch,namero,bravo,1684.4,289,v2.0.0,allow,dualsweeper,splashbomb,hopsonar,1017,8,3,5,3,5,wakaba,splashbomb,greatbarrier,1344,10,6,4,9,6,explosher,pointsensor,amefurashi,1217,6,2,4,8,3,momiji,torpedo,hopsonar,1161,9,8,1,9,4,wakaba,splashbomb,greatbarrier,1677,12,8,4,2,7,bottlegeyser,splashshield,ultrashot,921,12,9,3,6,3,wakaba,splashbomb,greatbarrier,1421,9,8,1,7,4,rapid_elite,poisonmist,kyuinki,924,7,4,3,4,6
kaoru5884,https://stat.ink/@kaoru5884/spl3/fed8abdc-28af-4abb-befb-9e9d1de30925,2022-12-07 23:35:07+09:00,area,xmatch,namero,alpha,2030.3,113,v2.0.0,allow,furo,sprinkler,amefurashi,730,5,4,1,0,2,kelvin525,splashshield,nicedama,404,5,5,0,2,1,explosher,pointsensor,amefurashi,508,3,2,1,2,1,sshooter,kyubanbomb,ultrashot,623,4,4,0,0,2,dualsweeper,splashbomb,hopsonar,448,2,2,0,3,1,longblaster,kyubanbomb,hopsonar,287,2,1,1,5,1,wakaba,splashbomb,greatbarrier,646,1,1,0,4,2,furo,sprinkler,amefurashi,753,0,0,0,3,2
ore,https://stat.ink/@ore/spl3/f0df8464-a85a-497b-b6b4-9545847b5fa3,2022-12-07 23:33:13+09:00,area,xmatch,namero,alpha,2092.8,173,v2.0.0,allow,sshooter,kyubanbomb,ultrashot,728,2,1,1,3,2,sputtery_hue,torpedo,sameride,736,7,7,0,4,3,wakaba,splashbomb,greatbarrier,1010,6,4,2,2,3,explosher,pointsensor,amefurashi,874,4,1,3,1,3,sshooter_collabo,splashbomb,tripletornado,854,5,4,1,3,3,sputtery_hue,torpedo,sameride,809,3,3,0,2,3,sharp,quickbomb,kanitank,833,3,3,0,4,3,furo,sprinkler,amefurashi,961,0,0,0,4,3
3p3k1122,https://stat.ink/@3p3k1122/spl3/defb1727-219d-4fd4-9da6-1046eea9a630,2022-12-07 23:32:39+09:00,area,xmatch,kusaya,alpha,1765.9,69,v2.0.0,allow,screwslosher,tansanbomb,nicedama,418,2,2,0,0,1,wakaba,splashbomb,greatbarrier,440,7,6,1,1,1,momiji,torpedo,hopsonar,299,5,1,4,1,1,bold,curlingbomb,ultrahanko,302,4,1,3,1,0,momiji,torpedo,hopsonar,485,2,2,0,2,2,wakaba,splashbomb,greatbarrier,220,0,0,0,3,1,heroshooter_replica,kyubanbomb,ultrashot,414,1,1,0,2,1,hissen,poisonmist,jetpack,247,0,0,0,3,0
Nyarukore,https://stat.ink/@Nyarukore/spl3/d48bffea-663c-42b0-b7bf-55e53eb3247c,2022-12-07 23:32:07+09:00,area,xmatch,namero,alpha,,152,v2.0.0,allow,momiji,torpedo,hopsonar,746,9,6,3,3,3,wakaba,splashbomb,greatbarrier,880,4,4,0,2,3,clashblaster,splashbomb,ultrashot,404,8,6,2,3,1,sharp,quickbomb,kanitank,619,5,3,2,5,2,sharp,quickbomb,kanitank,844,1,1,0,2,3,sshooter_collabo,splashbomb,tripletornado,514,7,7,0,8,0,wakaba,splashbomb,greatbarrier,882,3,3,0,4,3,nova,splashbomb,shokuwander,478,3,2,1,5,2
