Datetime,Username,Url,Rule,Disconnected
2022-12-15 08:51:06+09:00,Alecat,https://stat.ink/@Alecat/spl3/5462db35-b020-44a7-b781-aec96b7d054f,hoko,False
2022-12-15 08:45:04+09:00,Alecat,https://stat.ink/@Alecat/spl3/cc570a73-d26e-492e-a2b6-44559bcaf993,hoko,False
2022-12-15 08:40:38+09:00,Toufool,https://stat.ink/@Toufool/spl3/4c6f1f7b-9ea6-4bee-8301-8a9fab11f269,hoko,False
2022-12-15 08:38:10+09:00,Alecat,https://stat.ink/@Alecat/spl3/f7b0357f-35b8-4b4e-9906-36207b62b90d,hoko,True
2022-12-15 08:34:33+09:00,Alecat,https://stat.ink/@Alecat/spl3/9cf8bf95-107f-4e48-b28e-403f4a5828e5,hoko,True
2022-12-15 08:33:35+09:00,Toufool,https://stat.ink/@Toufool/spl3/7125e389-b770-4a88-ba1f-57ff5c15c8e6,hoko,False
2022-12-15 08:26:44+09:00,Alecat,https://stat.ink/@Alecat/spl3/de43b8fd-d45a-45a1-b481-fba8452b68cb,hoko,True
2022-12-15 08:11:46+09:00,Alecat,https://stat.ink/@Alecat/spl3/8d028ae0-adea-462c-b5ca-8f0fee089107,hoko,False
2022-12-15 08:07:17+09:00,Alecat,https://stat.ink/@Alecat/spl3/19a6e2f0-6345-403a-a3f6-ce1915e2265d,hoko,False
2022-12-15 08:00:03+09:00,Alecat,https://stat.ink/@Alecat/spl3/d668c173-7c91-45dd-9502-166ee85bf139,hoko,False
2022-12-15 05:13:16+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/7c2f965a-75ce-4c55-bcda-4c4dba81a3a0,yagura,False
2022-12-15 05:06:48+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/bc670921-5cb8-4157-a389-0f4a7214262f,yagura,False
2022-12-15 05:01:34+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/c7e73c97-2d5a-4bd9-9cd5-706081707fb6,area,False
2022-12-15 05:00:28+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/72922c73-b84f-4cae-a35e-7885ddf2874c,area,False
2022-12-15 04:57:27+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/532740ae-df75-4de0-94d4-f370e9ccf995,area,False
2022-12-15 04:54:01+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/eb407671-5d50-4a8a-a98f-8575fc98d31d,area,False
2022-12-15 04:52:48+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/38977688-dd12-48e1-99da-8ca0e3dfc55d,area,False
2022-12-15 04:49:54+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/777337ac-7b2d-4d72-ab91-9c7348fb2f46,area,False
2022-12-15 04:49:14+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/cd732084-3f27-4b76-8d14-a3979f453b7b,area,False
2022-12-15 04:45:10+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/ec6040a0-ea1b-413a-8ddf-f147207f99bb,area,False
2022-12-15 04:43:57+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/8b0a3b3f-4222-422d-a53a-0fed5cfa7941,area,False
2022-12-15 04:40:15+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/bda3ac81-1ccd-4a5b-b250-45645b51696c,area,False
2022-12-15 04:39:33+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/9d507d21-ac7a-433c-8e08-a7151e4bd118,area,False
2022-12-15 04:36:47+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/98ece9c4-0960-4d9f-b4b5-d7feee6331aa,area,False
2022-12-15 04:34:37+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/beacef4a-090a-4e2d-8908-201edbcb606d,area,False
2022-12-15 04:33:13+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/f454a178-965a-4a9f-b4d2-59582830e37e,area,False
2022-12-15 04:28:37+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/7f7bba2d-95c7-4b39-8d70-b6088f2031a8,area,False
2022-12-15 04:27:42+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/d2f835b4-d92d-4a62-88e6-283dd2b48749,area,False
2022-12-15 04:25:56+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/16877a91-a360-49f5-b3dc-aa3acd24b641,area,False
2022-12-15 04:23:49+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/9721b7c1-d0e6-4ca1-b4af-6ecd5bfbef9e,area,False
2022-12-15 04:23:00+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/04156399-e80f-4980-b459-bf95448439dc,area,False
2022-12-15 04:18:14+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/8e204ef8-a667-4b7c-9810-d2efa6883335,area,False
2022-12-15 04:18:08+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/9a87982b-14b3-40ae-8af9-56f1e97329e4,area,False
2022-12-15 04:13:59+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/cef1e1d8-c557-4159-8907-a8973abe5cf6,area,False
2022-12-15 04:11:52+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/b876d556-f5b9-4b88-9916-4b728876a626,area,False
2022-12-15 04:09:13+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/50936008-31d4-42d1-a351-91f9dfd1c05c,area,True
2022-12-15 04:08:10+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/4a6f6106-260c-467b-966d-faf1803bcc50,area,False
2022-12-15 04:04:40+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/d3ca78e6-7ebf-4d0c-b252-2e80449470a4,area,False
2022-12-15 04:03:05+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/a6cec508-3804-4cbd-b94c-be784b1b628b,area,False
2022-12-15 04:00:15+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/0624bdf4-11d3-421a-ac17-57e82dea0d44,area,False
2022-12-15 04:00:05+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/2f891ecb-5a58-4b51-96ac-2bd8b7b79339,area,False
2022-12-15 03:54:00+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/a67ce2f4-a0c2-44e3-8c3f-5c9737cc700a,area,False
2022-12-15 03:53:41+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/176e4cc3-2e5b-4189-b2cb-eac7f35379b1,area,False
2022-12-15 03:49:23+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/d1907a5a-0ef8-44d3-a77f-768051933777,area,False
2022-12-15 03:47:02+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/86e0217f-e305-4cb6-b20a-7e4d0857e6ed,area,False
2022-12-15 03:43:57+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/e1d15daa-0144-4b16-84cb-92512bf9b1b9,area,False
2022-12-15 03:43:03+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/8fc01616-7ac0-4ea5-be4c-ee102df890b4,area,False
2022-12-15 03:38:26+09:00,Splatnet,https://stat.ink/@Splatnet/spl3/e87c3a82-7df8-43f5-8bad-47a86b5a29bc,area,False
2022-12-15 03:36:52+09:00,bernchan07,https://stat.ink/@bernchan07/spl3/4f2e7ad6-43cd-40b1-bbee-bd8d51405a54,area,False
